vir_sp_seq_ID_v3	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	RdRp_scan_map_consensus_id	orf_start	orf_end	orf_sense
Albuilitusly_virus_F1156C65F1156	C65	F1156	F1156	F1156_NODE_65_length_2243_cov_7.962523_2	F1156_NODE_65_length_2243_cov_7.962523	F1156_NODE_65_length_2243_cov_7.962523_F1156_RdRpScan_Round1	2241	52	REVERSE
Erysiphe_necator_associated_virus_5_F1157C12F1157	C12	F1157	F1157	F1157_NODE_12_length_1742_cov_6.048014_1	F1157_NODE_12_length_1742_cov_6.048014	F1157_NODE_12_length_1742_cov_6.048014_F1157_RdRpScan_Round1	1741	86	REVERSE
Netjeret_virus_F1168C53F1168	C53	F1168	F1168	F1168_NODE_53_length_1796_cov_48.662837_1	F1168_NODE_53_length_1796_cov_48.662837	F1168_NODE_53_length_1796_cov_48.662837_F1168_RdRpScan_Round1	3	1745	FORWARD
Aedes_angustivittatus_narnavirus_F1172C107F1172	C107	F1172	F1172	F1172_NODE_107_length_2728_cov_139.118593_1	F1172_NODE_107_length_2728_cov_139.118593	F1172_NODE_107_length_2728_cov_139.118593_F1172_RdRpScan_Round1	2	2713	FORWARD
Allescrokeness_virus_F1172C1572F1172	C1572	F1172	F1172	F1172_NODE_1572_length_1141_cov_1.639963_1	F1172_NODE_1572_length_1141_cov_1.639963	F1172_NODE_1572_length_1141_cov_1.639963_F1172_RdRpScan_Round1	2	1135	FORWARD
Erysiphe_necator_associated_ourmia_like_virus_14_subsp2_F1182C14F1182	C14	F1182	F1182	F1182_NODE_14_length_2324_cov_40.641692_1	F1182_NODE_14_length_2324_cov_40.641692	F1182_NODE_14_length_2324_cov_40.641692_F1182_RdRpScan_Round1	1	2031	FORWARD
Bryonkle_virus_F1193C250F1193	C250	F1193	F1193	F1193_NODE_250_length_1595_cov_322.071429_1	F1193_NODE_250_length_1595_cov_322.071429	F1193_NODE_250_length_1595_cov_322.071429_F1193_RdRpScan_Round1	1595	3	REVERSE
Ammanver_virus_F1204C1396F1204	C1396	F1204	F1204	F1204_NODE_1396_length_1577_cov_1375.680026_1	F1204_NODE_1396_length_1577_cov_1375.680026	F1204_NODE_1396_length_1577_cov_1375.680026_F1204_RdRpScan_Round1	2	1474	FORWARD
Anarindottina_virus_F1252C1F1252	C1	F1252	F1252	F1252_NODE_1_length_3748_cov_16.256702_1	F1252_NODE_1_length_3748_cov_16.256702	F1252_NODE_1_length_3748_cov_16.256702_F1252_RdRpScan_Round1	599	2152	FORWARD
Bullivilm_virus_F1252C24F1252	C24	F1252	F1252	F1252_NODE_24_length_1618_cov_11.545106_1	F1252_NODE_24_length_1618_cov_11.545106	F1252_NODE_24_length_1618_cov_11.545106_F1252_RdRpScan_Round1	2	1567	FORWARD
Cludgened_virus_F1257C34F1257	C34	F1257	F1257	F1257_NODE_34_length_2521_cov_73.984590_1	F1257_NODE_34_length_2521_cov_73.984590	F1257_NODE_34_length_2521_cov_73.984590_F1257_RdRpScan_Round1	11	1981	FORWARD
Plasmopara_viticola_lesion_associated_Partiti_like_2_F1260C257F1260	C257	F1260	F1260	F1260_NODE_257_length_1441_cov_2.484127_1	F1260_NODE_257_length_1441_cov_2.484127	F1260_NODE_257_length_1441_cov_2.484127_F1260_RdRpScan_Round1	2	1441	FORWARD
Coddhild_virus_F1260C31F1260	C31	F1260	F1260	F1260_NODE_31_length_2456_cov_5.143274_1	F1260_NODE_31_length_2456_cov_5.143274	F1260_NODE_31_length_2456_cov_5.143274_F1260_RdRpScan_Round1	2	1930	FORWARD
Appingrabludly_virus_F1292C41F1292	C41	F1292	F1292	F1292_NODE_41_length_3306_cov_5.850815_1	F1292_NODE_41_length_3306_cov_5.850815	F1292_NODE_41_length_3306_cov_5.850815_F1292_RdRpScan_Round1	3306	40	REVERSE
Plasmopara_viticola_lesion_associated_narnavirus_11_F1322C126F1322	C126	F1322	F1322	F1322_NODE_126_length_1586_cov_15.097322_1	F1322_NODE_126_length_1586_cov_15.097322	F1322_NODE_126_length_1586_cov_15.097322_F1322_RdRpScan_Round1	1586	3	REVERSE
Buquota_virus_F1339C2128F1339	C2128	F1339	F1339	F1339_NODE_2128_length_1366_cov_2.616323_1	F1339_NODE_2128_length_1366_cov_2.616323	F1339_NODE_2128_length_1366_cov_2.616323_F1339_RdRpScan_Round1	66	1364	FORWARD
Gatopsed_virus_F1339C266F1339	C266	F1339	F1339	F1339_NODE_266_length_3313_cov_7.505832_2	F1339_NODE_266_length_3313_cov_7.505832	F1339_NODE_266_length_3313_cov_7.505832_F1339_RdRpScan_Round1	2317	764	REVERSE
Doession_virus_F1339C545F1339	C545	F1339	F1339	F1339_NODE_545_length_2516_cov_6.107680_1	F1339_NODE_545_length_2516_cov_6.107680	F1339_NODE_545_length_2516_cov_6.107680_F1339_RdRpScan_Round1	67	2106	FORWARD
Erysiphe_necator_associated_ourmia_like_virus_47_F1347C3F1347	C3	F1347	F1347	F1347_NODE_3_length_2331_cov_1398.506591_1	F1347_NODE_3_length_2331_cov_1398.506591	F1347_NODE_3_length_2331_cov_1398.506591_F1347_RdRpScan_Round1	55	2007	FORWARD
Aurovirths_virus_F1349C35F1349	C35	F1349	F1349	F1349_NODE_35_length_2123_cov_45.847195_1	F1349_NODE_35_length_2123_cov_45.847195	F1349_NODE_35_length_2123_cov_45.847195_F1349_RdRpScan_Round1	2123	42	REVERSE
Melvanize_virus_F1352C2F1352	C2	F1352	F1352	F1352_NODE_2_length_15650_cov_128.103110_1	F1352_NODE_2_length_15650_cov_128.103110	F1352_NODE_2_length_15650_cov_128.103110_F1352_RdRpScan_Round1	24	15602	FORWARD
Morruptic_virus_F1352C3F1352	C3	F1352	F1352	F1352_NODE_3_length_14598_cov_105.777212_1	F1352_NODE_3_length_14598_cov_105.777212	F1352_NODE_3_length_14598_cov_105.777212_F1352_RdRpScan_Round1	2	14554	FORWARD
Leshenault_partiti_like_virus_F1352C69F1352	C69	F1352	F1352	F1352_NODE_69_length_3272_cov_31.923220_3	F1352_NODE_69_length_3272_cov_31.923220	F1352_NODE_69_length_3272_cov_31.923220_F1352_RdRpScan_Round1	2777	177	REVERSE
Cogillar_virus_F1353C7F1353	C7	F1353	F1353	F1353_NODE_7_length_2498_cov_283.717560_1	F1353_NODE_7_length_2498_cov_283.717560	F1353_NODE_7_length_2498_cov_283.717560_F1353_RdRpScan_Round1	27	2030	FORWARD
Erysiphe_necator_associated_ourmia_like_virus_33_F1357C209F1357	C209	F1357	F1357	F1357_NODE_209_length_2151_cov_308.112595_1	F1357_NODE_209_length_2151_cov_308.112595	F1357_NODE_209_length_2151_cov_308.112595_F1357_RdRpScan_Round1	2126	192	REVERSE
Erysiphe_necator_associated_narnavirus_6_F1358C2309F1358	C2309	F1358	F1358	F1358_NODE_2309_length_1852_cov_1.580412_1concat2	F1358_NODE_2309_length_1852_cov_1.580412	F1358_NODE_2309_length_1852_cov_1.580412_F1358_RdRpScan_Round1	956	3	REVERSE
Autioncer_virus_F1360C4105F1360	C4105	F1360	F1360	F1360_NODE_4105_length_1606_cov_2.191489_1	F1360_NODE_4105_length_1606_cov_2.191489	F1360_NODE_4105_length_1606_cov_2.191489_F1360_RdRpScan_Round1	1604	234	REVERSE
Erysiphe_necator_associated_ourmia_like_virus_81_F1361C262F1361	C262	F1361	F1361	F1361_NODE_262_length_2334_cov_50.104871_1	F1361_NODE_262_length_2334_cov_50.104871	F1361_NODE_262_length_2334_cov_50.104871_F1361_RdRpScan_Round1	2312	291	REVERSE
Bakeuprily_virus_F1362C102F1362	C102	F1362	F1362	F1362_NODE_102_length_3099_cov_4.507556_1	F1362_NODE_102_length_3099_cov_4.507556	F1362_NODE_102_length_3099_cov_4.507556_F1362_RdRpScan_Round1	2	3097	FORWARD
Catimbler_virus_F1366C1917F1366	C1917	F1366	F1366	F1366_NODE_1917_length_1697_cov_3.967722_1	F1366_NODE_1917_length_1697_cov_3.967722	F1366_NODE_1917_length_1697_cov_3.967722_F1366_RdRpScan_Round1	1697	3	REVERSE
Fusarium_poae_narnavirus_2_F1367C208F1367	C208	F1367	F1367	F1367_NODE_208_length_2030_cov_14.963544_1	F1367_NODE_208_length_2030_cov_14.963544	F1367_NODE_208_length_2030_cov_14.963544_F1367_RdRpScan_Round1	2028	55	REVERSE
Balkhesia_virus_F1367C265F1367	C265	F1367	F1367	F1367_NODE_265_length_1859_cov_6.491685_1	F1367_NODE_265_length_1859_cov_6.491685	F1367_NODE_265_length_1859_cov_6.491685_F1367_RdRpScan_Round1	1	1620	FORWARD
Cahewisemili_virus_F1367C745F1367	C745	F1367	F1367	F1367_NODE_745_length_1279_cov_3.495098_1	F1367_NODE_745_length_1279_cov_3.495098	F1367_NODE_745_length_1279_cov_3.495098_F1367_RdRpScan_Round1	2	1279	FORWARD
Erysiphe_necator_associated_partitivirus_2_F1370C970F1370	C970	F1370	F1370	F1370_NODE_970_length_1742_cov_6.752223_1	F1370_NODE_970_length_1742_cov_6.752223	F1370_NODE_970_length_1742_cov_6.752223_F1370_RdRpScan_Round1	1697	72	REVERSE
Hubei_tombus_like_virus_20_subsp2_F1374C10F1374	C10	F1374	F1374	F1374_NODE_10_length_4991_cov_3607.349271_3	F1374_NODE_10_length_4991_cov_3607.349271	F1374_NODE_10_length_4991_cov_3607.349271_F1374_RdRpScan_Round1	3370	1910	REVERSE
Erysiphales_ourmia_like_virus_2_F1395C195F1395	C195	F1395	F1395	F1395_NODE_195_length_2846_cov_11.463991_1	F1395_NODE_195_length_2846_cov_11.463991	F1395_NODE_195_length_2846_cov_11.463991_F1395_RdRpScan_Round1	281	2755	FORWARD
Penicillium_stoloniferum_virus_S_F1414C269F1414	C269	F1414	F1414	F1414_NODE_269_length_1737_cov_116.394768_1	F1414_NODE_269_length_1737_cov_116.394768	F1414_NODE_269_length_1737_cov_116.394768_F1414_RdRpScan_Round1	1684	68	REVERSE
Cioughtles_virus_F1422C183F1422	C183	F1422	F1422	F1422_NODE_183_length_1747_cov_7.848700_2	F1422_NODE_183_length_1747_cov_7.848700	F1422_NODE_183_length_1747_cov_7.848700_F1422_RdRpScan_Round1	1746	70	REVERSE
Hubei_partiti_like_virus_22_F1424C40F1424	C40	F1424	F1424	F1424_NODE_40_length_1858_cov_2432.250139_1	F1424_NODE_40_length_1858_cov_2432.250139	F1424_NODE_40_length_1858_cov_2432.250139_F1424_RdRpScan_Round1	1	1746	FORWARD
Clainforians_virus_F1425C145F1425	C145	F1425	F1425	F1425_NODE_145_length_1791_cov_19.676843_1	F1425_NODE_145_length_1791_cov_19.676843	F1425_NODE_145_length_1791_cov_19.676843_F1425_RdRpScan_Round1	1790	3	REVERSE
Comblicompons_virus_F1426C28F1426	C28	F1426	F1426	F1426_NODE_28_length_2861_cov_111.933001_2	F1426_NODE_28_length_2861_cov_111.933001	F1426_NODE_28_length_2861_cov_111.933001_F1426_RdRpScan_Round1	879	2741	FORWARD
Aspergillus_protuberus_partitivirus_1_F1456C4F1456	C4	F1456	F1456	F1456_NODE_4_length_1719_cov_696.986779_1	F1456_NODE_4_length_1719_cov_696.986779	F1456_NODE_4_length_1719_cov_696.986779_F1456_RdRpScan_Round1	2	1666	FORWARD
Daticed_virus_F1460C9F1460	C9	F1460	F1460	F1460_NODE_9_length_1992_cov_43.488384_2	F1460_NODE_9_length_1992_cov_43.488384	F1460_NODE_9_length_1992_cov_43.488384_F1460_RdRpScan_Round1	1992	1	REVERSE
Constranars_virus_F1473C973F1473	C973	F1473	F1473	F1473_NODE_973_length_1580_cov_3.504918_1	F1473_NODE_973_length_1580_cov_3.504918	F1473_NODE_973_length_1580_cov_3.504918_F1473_RdRpScan_Round1	3	1334	FORWARD
Epicoccum_nigrum_ourmia_like_virus_2_F1484C54F1484	C54	F1484	F1484	F1484_NODE_54_length_2792_cov_4.601388_1	F1484_NODE_54_length_2792_cov_4.601388	F1484_NODE_54_length_2792_cov_4.601388_F1484_RdRpScan_Round1	248	2776	FORWARD
Cativeted_virus_F1489C1734F1489	C1734	F1489	F1489	F1489_NODE_1734_length_1508_cov_1316.233999_1	F1489_NODE_1734_length_1508_cov_1316.233999	F1489_NODE_1734_length_1508_cov_1316.233999_F1489_RdRpScan_Round1	34	1455	FORWARD
Corringskyot_virus_F1497C136F1497	C136	F1497	F1497	F1497_NODE_136_length_2378_cov_1144.077056_1	F1497_NODE_136_length_2378_cov_1144.077056	F1497_NODE_136_length_2378_cov_1144.077056_F1497_RdRpScan_Round1	2376	70	REVERSE
Getately_virus_F1497C21F1497	C21	F1497	F1497	F1497_NODE_21_length_4260_cov_380.850178_2	F1497_NODE_21_length_4260_cov_380.850178	F1497_NODE_21_length_4260_cov_380.850178_F1497_RdRpScan_Round1	2554	932	REVERSE
Crearetracons_virus_F1497C77F1497	C77	F1497	F1497	F1497_NODE_77_length_2882_cov_265.681995_2	F1497_NODE_77_length_2882_cov_265.681995	F1497_NODE_77_length_2882_cov_265.681995_F1497_RdRpScan_Round1	2001	109	REVERSE
Dialanscovere_virus_F1506C39F1506	C39	F1506	F1506	F1506_NODE_39_length_2155_cov_15.576190_1	F1506_NODE_39_length_2155_cov_15.576190	F1506_NODE_39_length_2155_cov_15.576190_F1506_RdRpScan_Round1	2154	1	REVERSE
Cumumbo_virus_F1509C206F1509	C206	F1509	F1509	F1509_NODE_206_length_2353_cov_3.070496_1	F1509_NODE_206_length_2353_cov_3.070496	F1509_NODE_206_length_2353_cov_3.070496_F1509_RdRpScan_Round1	2352	1	REVERSE
Distredfologra_virus_F1552C18F1552	C18	F1552	F1552	F1552_NODE_18_length_3190_cov_494.525040_1	F1552_NODE_18_length_3190_cov_494.525040	F1552_NODE_18_length_3190_cov_494.525040_F1552_RdRpScan_Round1	28	3159	FORWARD
Dranizinef_virus_F1559C15F1559	C15	F1559	F1559	F1559_NODE_15_length_3431_cov_895.395438_2	F1559_NODE_15_length_3431_cov_895.395438	F1559_NODE_15_length_3431_cov_895.395438_F1559_RdRpScan_Round1	2712	58	REVERSE
Enoctampy_virus_F1559C16F1559	C16	F1559	F1559	F1559_NODE_16_length_3429_cov_142.246888_1	F1559_NODE_16_length_3429_cov_142.246888	F1559_NODE_16_length_3429_cov_142.246888_F1559_RdRpScan_Round1	1	3387	FORWARD
Dabluel_virus_F1559C20F1559	C20	F1559	F1559	F1559_NODE_20_length_3169_cov_114.399807_1	F1559_NODE_20_length_3169_cov_114.399807	F1559_NODE_20_length_3169_cov_114.399807_F1559_RdRpScan_Round1	3	2957	FORWARD
Erminizes_virus_F1560C544F1560	C544	F1560	F1560	F1560_NODE_544_length_2623_cov_546.129283_1	F1560_NODE_544_length_2623_cov_546.129283	F1560_NODE_544_length_2623_cov_546.129283_F1560_RdRpScan_Round1	11	2557	FORWARD
Erysiphe_necator_associated_ourmia_like_virus_14_subsp3_F1584C52F1584	C52	F1584	F1584	F1584_NODE_52_length_2510_cov_11.737271_1	F1584_NODE_52_length_2510_cov_11.737271	F1584_NODE_52_length_2510_cov_11.737271_F1584_RdRpScan_Round1	2509	479	REVERSE
Codisteave_virus_F1585C2F1585	C2	F1585	F1585	F1585_NODE_2_length_2559_cov_71.784345_1	F1585_NODE_2_length_2559_cov_71.784345	F1585_NODE_2_length_2559_cov_71.784345_F1585_RdRpScan_Round1	2558	498	REVERSE
Zhejiang_mosquito_virus_3_subsp2_F1586C7F1586	C7	F1586	F1586	F1586_NODE_7_length_3277_cov_3101.561142_2	F1586_NODE_7_length_3277_cov_3101.561142	F1586_NODE_7_length_3277_cov_3101.561142_F1586_RdRpScan_Round1	3275	33	REVERSE
Bremia_lactucae_associated_ourmia_like_virus_1_subsp2_F1588C16F1588	C16	F1588	F1588	F1588_NODE_16_length_2162_cov_36.273849_1	F1588_NODE_16_length_2162_cov_36.273849	F1588_NODE_16_length_2162_cov_36.273849_F1588_RdRpScan_Round1	2160	265	REVERSE
Dencephous_virus_F1600C34F1600	C34	F1600	F1600	F1600_NODE_34_length_2751_cov_898.589763_1	F1600_NODE_34_length_2751_cov_898.589763	F1600_NODE_34_length_2751_cov_898.589763_F1600_RdRpScan_Round1	111	2732	FORWARD
Colockles_virus_F1611C152F1611	C152	F1611	F1611	F1611_NODE_152_length_2053_cov_3.285786_1	F1611_NODE_152_length_2053_cov_3.285786	F1611_NODE_152_length_2053_cov_3.285786_F1611_RdRpScan_Round1	2052	586	REVERSE
Eveninate_virus_F1611C54F1611	C54	F1611	F1611	F1611_NODE_54_length_2710_cov_128.028249_3	F1611_NODE_54_length_2710_cov_128.028249	F1611_NODE_54_length_2710_cov_128.028249_F1611_RdRpScan_Round1	2710	50	REVERSE
Plasmopara_viticola_lesion_associated_ourmia_like_virus_3_F1611C77F1611	C77	F1611	F1611	F1611_NODE_77_length_2429_cov_31.769166_1	F1611_NODE_77_length_2429_cov_31.769166	F1611_NODE_77_length_2429_cov_31.769166_F1611_RdRpScan_Round1	19	2046	FORWARD
Cumentaid_virus_F1614C75F1614	C75	F1614	F1614	F1614_NODE_75_length_3253_cov_5695.314572_2	F1614_NODE_75_length_3253_cov_5695.314572	F1614_NODE_75_length_3253_cov_5695.314572_F1614_RdRpScan_Round1	3	3221	FORWARD
Fluousser_virus_F1621C32F1621	C32	F1621	F1621	F1621_NODE_32_length_2992_cov_117.672114_1	F1621_NODE_32_length_2992_cov_117.672114	F1621_NODE_32_length_2992_cov_117.672114_F1621_RdRpScan_Round1	1	2925	FORWARD
Confucts_virus_F1628C34F1628	C34	F1628	F1628	F1628_NODE_34_length_1991_cov_6.607438_1	F1628_NODE_34_length_1991_cov_6.607438	F1628_NODE_34_length_1991_cov_6.607438_F1628_RdRpScan_Round1	1932	1	REVERSE
