tip_join_var	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	novel_seq
MH237599	MH237599_Phasi_Charoen_like_phasivirus	MH237599_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Australia	Australia	2016	6780	Phasi Charoen-like phasivirus strain 2b segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW650771	MW650771_Phasi_Charoen_like_phasivirus	MW650771_Phasi_Charoen_like_phasivirus	Haemagogus	Haemagogus	Trinidad and Tobago	Trinidad and Tobago: Mamoral	2018	6675	Phasi Charoen-like phasivirus isolate TriniPa-Mamoral-P02 segment L RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW650717	MW650717_Phasi_Charoen_like_phasivirus	MW650717_Phasi_Charoen_like_phasivirus	Haemagogus	Haemagogus	Trinidad and Tobago	Trinidad and Tobago: Mamon Village	2018	6594	Phasi Charoen-like phasivirus isolate TriniPa-Mamon-P02 segment L RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW650730	MW650730_Phasi_Charoen_like_phasivirus	MW650730_Phasi_Charoen_like_phasivirus	Haemagogus	Haemagogus	Trinidad and Tobago	Trinidad and Tobago: Claxton Bay	2018	6659	Phasi Charoen-like phasivirus isolate TriniPa-Claxton-P01 segment L RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053760	MN053760_Phasi_Charoen_like_phasivirus	MN053760_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6704	Phasi Charoen-like phasivirus strain Ab-AAM-1-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053763	MN053763_Phasi_Charoen_like_phasivirus	MN053763_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6548	Phasi Charoen-like phasivirus strain Ab-AAM-1-5 RNA-dependent RNA polymerase (L) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053772	MN053772_Phasi_Charoen_like_phasivirus	MN053772_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6607	Phasi Charoen-like phasivirus strain PB-AAF-1-5 RNA-dependent RNA polymerase (L) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053769	MN053769_Phasi_Charoen_like_phasivirus	MN053769_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6730	Phasi Charoen-like phasivirus strain PB-AAF-1-4 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053751	MN053751_Phasi_Charoen_like_phasivirus	MN053751_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6754	Phasi Charoen-like phasivirus strain PB-AAM-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053778	MN053778_Phasi_Charoen_like_phasivirus	MN053778_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2016	6790	Phasi Charoen-like phasivirus strain Ab-AAF segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053757	MN053757_Phasi_Charoen_like_phasivirus	MN053757_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6742	Phasi Charoen-like phasivirus strain Ab-AAF-1-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053748	MN053748_Phasi_Charoen_like_phasivirus	MN053748_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6767	Phasi Charoen-like phasivirus strain Ab-AAM-1-4 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053754	MN053754_Phasi_Charoen_like_phasivirus	MN053754_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6744	Phasi Charoen-like phasivirus strain Ab-AAM-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053775	MN053775_Phasi_Charoen_like_phasivirus	MN053775_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6336	Phasi Charoen-like phasivirus strain PB-AAF-5 RNA-dependent RNA polymerase (L) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053766	MN053766_Phasi_Charoen_like_phasivirus	MN053766_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6624	Phasi Charoen-like phasivirus strain PB-AAF-1-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053745	MN053745_Phasi_Charoen_like_phasivirus	MN053745_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2017	6810	Phasi Charoen-like phasivirus strain Ab-AAF-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053781	MN053781_Phasi_Charoen_like_phasivirus	MN053781_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Guadeloupe	Guadeloupe	2016	6751	Phasi Charoen-like phasivirus strain Ab-AAM segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN053784	MN053784_Guadeloupe_phasivirus	MN053784_Guadeloupe_phasivirus	Aedes sp.	Aedes	Guadeloupe	Guadeloupe	2017	6680	Guadeloupe mosquito phasivirus strain Ab-AAF-1-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MK017914	MK017914_Wutai_mosquito_phasivirus	MK017914_Wutai_mosquito_phasivirus	Culex	Culex	Brazil	Brazil	2015	6868	Wutai mosquito phasivirus isolate RJ1863 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031317	NC_031317_Wutai_mosquito_phasivirus	NC_031317_Wutai_mosquito_phasivirus	Culex quinquefasciatus	Culex	China	China	2012	6754	Wutai Mosquito Virus strain QN3-5 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038257	NC_038257_Badu_phasivirus	NC_038257_Badu_phasivirus	Culex	Culex	Australia	Australia	2003	6863	Badu virus isolate TS6347 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT498816	MT498816_Kimberley_phasivirus	MT498816_Kimberley_phasivirus	Culex annulirostris	Culex	Australia	Australia	2018	6660	Parry's Creek phasivirus 1 isolate PCPV1/pool-10 segment L RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT498819	MT498819_Broome_phasivirus_1	MT498819_Broome_phasivirus_1	Culex annulirostris	Culex	Australia	Australia	2018	6549	Broome phasivirus 1 isolate BPV1/pool-1 segment L RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032276	NC_032276_Dipteran_phasivirus	NC_032276_Dipteran_phasivirus	Diptera	Diptera	China	China	2013	6974	Hubei diptera virus 5 strain SCM245062 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031298	NC_031298_Fly_phasivirus	NC_031298_Fly_phasivirus	Atherigona orientalis	Atherigona	China	China	2013	6779	Wuhan Fly Virus 1 strain SYY1-9 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866243	MN866243_Phasi_Charoen_like_phasivirus	MN866243_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6781	Phasi Charoen-like phasivirus isolate 19-5890-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866235	MN866235_Phasi_Charoen_like_phasivirus	MN866235_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6767	Phasi Charoen-like phasivirus isolate 19-7475-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866228	MN866228_Phasi_Charoen_like_phasivirus	MN866228_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6742	Phasi Charoen-like phasivirus isolate 19-6788-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866240	MN866240_Phasi_Charoen_like_phasivirus	MN866240_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6769	Phasi Charoen-like phasivirus isolate 19-7168-5 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866241	MN866241_Phasi_Charoen_like_phasivirus	MN866241_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6776	Phasi Charoen-like phasivirus isolate 19-7282-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866242	MN866242_Phasi_Charoen_like_phasivirus	MN866242_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6772	Phasi Charoen-like phasivirus isolate 19-7352-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866220	MN866220_Phasi_Charoen_like_phasivirus	MN866220_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6773	Phasi Charoen-like phasivirus isolate 19-6114-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866233	MN866233_Phasi_Charoen_like_phasivirus	MN866233_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6766	Phasi Charoen-like phasivirus isolate 19-7352-4 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866224	MN866224_Phasi_Charoen_like_phasivirus	MN866224_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6776	Phasi Charoen-like phasivirus isolate 19-7352-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866227	MN866227_Phasi_Charoen_like_phasivirus	MN866227_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6772	Phasi Charoen-like phasivirus isolate 19-6114-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866237	MN866237_Phasi_Charoen_like_phasivirus	MN866237_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6775	Phasi Charoen-like phasivirus isolate 19-7475-10 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866229	MN866229_Phasi_Charoen_like_phasivirus	MN866229_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6774	Phasi Charoen-like phasivirus isolate 19-6788-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866232	MN866232_Phasi_Charoen_like_phasivirus	MN866232_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6776	Phasi Charoen-like phasivirus isolate 19-7282-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866223	MN866223_Phasi_Charoen_like_phasivirus	MN866223_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6773	Phasi Charoen-like phasivirus isolate 19-7282-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866221	MN866221_Phasi_Charoen_like_phasivirus	MN866221_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6768	Phasi Charoen-like phasivirus isolate 19-6904-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866234	MN866234_Phasi_Charoen_like_phasivirus	MN866234_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6774	Phasi Charoen-like phasivirus isolate 19-7475-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866239	MN866239_Phasi_Charoen_like_phasivirus	MN866239_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6761	Phasi Charoen-like phasivirus isolate 19-7168-4 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866222	MN866222_Phasi_Charoen_like_phasivirus	MN866222_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6775	Phasi Charoen-like phasivirus isolate 19-7168-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866219	MN866219_Phasi_Charoen_like_phasivirus	MN866219_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6761	Phasi Charoen-like phasivirus isolate 19-5897-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866230	MN866230_Phasi_Charoen_like_phasivirus	MN866230_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6766	Phasi Charoen-like phasivirus isolate 19-6945-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866226	MN866226_Phasi_Charoen_like_phasivirus	MN866226_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6781	Phasi Charoen-like phasivirus isolate 19-5119-2 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866225	MN866225_Phasi_Charoen_like_phasivirus	MN866225_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6782	Phasi Charoen-like phasivirus isolate 19-5119-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866231	MN866231_Phasi_Charoen_like_phasivirus	MN866231_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6773	Phasi Charoen-like phasivirus isolate 19-6945-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866236	MN866236_Phasi_Charoen_like_phasivirus	MN866236_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6773	Phasi Charoen-like phasivirus isolate 19-7475-9 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN866238	MN866238_Phasi_Charoen_like_phasivirus	MN866238_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	India	India: Karnataka State	2019	6777	Phasi Charoen-like phasivirus isolate 19-7168-3 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phasi_Charoen_like_virus_F1339C31F1001	Phasi_Charoen_like_virus_F1339C31F1001	Phasi_Charoen_like_virus_F1339C31F1001	Aedes aegypti	Aedes	Cambodia	Cambodia:Battambang & Pailin	2019	NA	NA	C31	F1339	F1001	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1002	Phasi_Charoen_like_virus_F1339C31F1002	Phasi_Charoen_like_virus_F1339C31F1002	Aedes aegypti	Aedes	Cambodia	Cambodia:Battambang & Pailin	2019	NA	NA	C31	F1339	F1002	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1058	Phasi_Charoen_like_virus_F1339C31F1058	Phasi_Charoen_like_virus_F1339C31F1058	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1058	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1060	Phasi_Charoen_like_virus_F1339C31F1060	Phasi_Charoen_like_virus_F1339C31F1060	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1060	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1061	Phasi_Charoen_like_virus_F1339C31F1061	Phasi_Charoen_like_virus_F1339C31F1061	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1061	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1062	Phasi_Charoen_like_virus_F1339C31F1062	Phasi_Charoen_like_virus_F1339C31F1062	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1062	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1063	Phasi_Charoen_like_virus_F1339C31F1063	Phasi_Charoen_like_virus_F1339C31F1063	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1063	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1064	Phasi_Charoen_like_virus_F1339C31F1064	Phasi_Charoen_like_virus_F1339C31F1064	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1064	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1065	Phasi_Charoen_like_virus_F1339C31F1065	Phasi_Charoen_like_virus_F1339C31F1065	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1065	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1067	Phasi_Charoen_like_virus_F1339C31F1067	Phasi_Charoen_like_virus_F1339C31F1067	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1067	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1085	Phasi_Charoen_like_virus_F1339C31F1085	Phasi_Charoen_like_virus_F1339C31F1085	Aedes aegypti	Aedes	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1085	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1156	Phasi_Charoen_like_virus_F1339C31F1156	Phasi_Charoen_like_virus_F1339C31F1156	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex	Cambodia	Cambodia:Sihanuokville	2019	NA	NA	C31	F1339	F1156	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	1
Phasi_Charoen_like_virus_F1339C31F1336	Phasi_Charoen_like_virus_F1339C31F1336	Phasi_Charoen_like_virus_F1339C31F1336	Aedes aegypti	Aedes	Cambodia	Cambodia:Kompong Thom	2019	NA	NA	C31	F1339	F1336	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus_F1339C31F1339	Aedes aegypti	Aedes	Cambodia	Cambodia:Kompong Thom	2019	NA	NA	C31	F1339	F1339	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1503	Phasi_Charoen_like_virus_F1339C31F1503	Phasi_Charoen_like_virus_F1339C31F1503	Aedes aegypti	Aedes	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C31	F1339	F1503	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1504	Phasi_Charoen_like_virus_F1339C31F1504	Phasi_Charoen_like_virus_F1339C31F1504	Aedes aegypti	Aedes	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C31	F1339	F1504	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Phasi_Charoen_like_virus_F1339C31F1506	Phasi_Charoen_like_virus_F1339C31F1506	Phasi_Charoen_like_virus_F1339C31F1506	Aedes aegypti	Aedes	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C31	F1339	F1506	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	Aedes aegypti	correct	Aedes aegypti	_	cluster26	1
Ackless_virus_F1539C12F1539	Ackless_virus_F1539C12F1539	Ackless_virus_F1539C12F1539	Coquillettidia crassipes	Coquillettidia	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C12	F1539	F1539	F1539_NODE_12_length_6813_cov_660.129032_1	F1539_NODE_12_length_6813_cov_660.129032	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	1
Adableaps_virus_F1632C15F1623	Adableaps_virus_F1632C15F1623	Adableaps_virus_F1632C15F1623	Mansonia uniformis	Mansonia	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C15	F1632	F1623	F1632_NODE_15_length_6869_cov_140.488553_1	F1632_NODE_15_length_6869_cov_140.488553	Mansonia indiana	misannotated	Mansonia uniformis	Possibly misannotated uniformis, because:  1) it clusters with uniformis on SKA; 2) it was quite poorly sequenced (few reads, P2M platform); 3) it has the same phasivirus virus as the uniformis F1632. For further conclusiveness, COI and COII should provide some info.	cluster20	1
Adableaps_virus_F1632C15F1632	Adableaps_virus_F1632C15F1632	Adableaps_virus_F1632C15F1632	Mansonia uniformis	Mansonia	Cambodia	Cambodia:Preah Vihear	2019	NA	NA	C15	F1632	F1632	F1632_NODE_15_length_6869_cov_140.488553_1	F1632_NODE_15_length_6869_cov_140.488553	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20	1
