nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	Species
NC_032739	NC_032739_Alphacrustrhavirus_wenling	NC_032739_Alphacrustrhavirus_wenling	Crustacea	Crustacea	China	China	2014	11938	Wenling crustacean virus 10 strain WLJQ101844 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032781	NC_032781_Alphacrustrhavirus_zhejiang	NC_032781_Alphacrustrhavirus_zhejiang	Crustacea	Crustacea	China	China	2014	11560	Wenling crustacean virus 11 strain WLJQ201798 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032793	NC_032793_Crustavirus_wenlingense	NC_032793_Crustavirus_wenlingense	Crustacea	Crustacea	China	China	2014	7447	Wenling crustacean virus 12 strain WLJQ47777 putative nucleoprotein, hypothetical protein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032849	NC_032849_Hoptevirus_orthopteris	NC_032849_Hoptevirus_orthopteris	Orthoptera	Orthoptera	China	China	2013	10903	Hubei orthoptera virus 5 strain ZCM94262 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032907	NC_032907_Alphapaprhavirus_hubei	NC_032907_Alphapaprhavirus_hubei	Lepidoptera	Lepidoptera	China	China	2013	13109	Hubei lepidoptera virus 2 strain LCM101902 putative nucleoprotein, hypothetical protein 2, putative membrane protein, putative glycoprotein 1, putative glycoprotein 2, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032956	NC_032956_Odonatavirus_fabricii	NC_032956_Odonatavirus_fabricii	Odonata	Odonata	China	China	2013	11349	Hubei odonate virus 11 strain QTM161788 RNA-dependent RNA polymerase, putative glycoprotein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032971	NC_032971_Hubei_rhabdo-like_virus_1	NC_032971_Hubei_rhabdo-like_virus_1	Odonata	Odonata	China	China	2013	11834	Hubei rhabdo-like virus 1 strain QTM25107 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033006	NC_033006_Hubei_dimarhabdovirus_virus_2	NC_033006_Hubei_dimarhabdovirus_virus_2	Odonata	Odonata	China	China	2013	11332	Hubei dimarhabdovirus virus 2 strain QTM26629 putative nucleoprotein, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033015	NC_033015_Scarabeuvirus_dentati	NC_033015_Scarabeuvirus_dentati	Odonata	Odonata	China	China	2013	11280	Hubei chuvirus-like virus 3 strain QTM26698 RNA-dependent RNA polymerase, putative glycoprotein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033027	NC_033027_Draselvirus_dentati	NC_033027_Draselvirus_dentati	Odonata	Odonata	China	China	2013	9614	Hubei rhabdo-like virus 7 strain QTM26925 hypothetical protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033034	NC_033034_Sigmavirus_hubei	NC_033034_Sigmavirus_hubei	Diptera	Diptera	China	China	2013	13000	Hubei diptera virus 9 strain SCM172232 putative nucleoprotein, hypothetical protein 2, putative X protein, putative matrix protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033055	NC_033055_Alasvirus_muscae	NC_033055_Alasvirus_muscae	Diptera	Diptera	China	China	2013	12513	Hubei diptera virus 11 strain SCM51501 hypothetical protein 1, hypothetical protein 2, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033103	NC_033103_Sigmavirus_myga	NC_033103_Sigmavirus_myga	Diptera	Diptera	China	China	2013	13161	Hubei diptera virus 10 strain SCM43656 putative nucleoprotein, hypothetical protein, putative X protein, putative matrix protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033182	NC_033182_Betanemrhavirus_shayang	NC_033182_Betanemrhavirus_shayang	Toxocara	Toxocara	China	China	2014	13283	Shayang ascaridia galli virus 2 strain SYJFC48550 putative nucleoprotein, hypothetical protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033261	NC_033261_Hubei_rhabdo-like_virus_2	NC_033261_Hubei_rhabdo-like_virus_2	Nematoda	Nematoda	China	China	2014	10841	Hubei rhabdo-like virus 2 strain WHSWHC60518 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033267	NC_033267_Betanemrhavirus_hubei	NC_033267_Betanemrhavirus_hubei	Ascaris suum	Ascaris	China	China	2014	13776	Hubei rhabdo-like virus 9 strain WHZHC73015 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, hypothetical protein 4, hypothetical protein 5, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033282	NC_033282_Yingvirus_hubeiense	NC_033282_Yingvirus_hubeiense	Diptera	Diptera	China	China	2013	5741	Hubei qinvirus-like virus 1 strain SCM49583 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033284	NC_033284_Yingvirus_sanxiaense	NC_033284_Yingvirus_sanxiaense	Atyidae	Atyidae	China	China	2014	6585	Sanxia Qinvirus-like virus 1 strain SXXX11646 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033287	NC_033287_Yingvirus_shaheense	NC_033287_Yingvirus_shaheense	Termitoidae	Termitoidae	China	China	2013	5924	Shahe qinvirus-like virus 1 strain SHWC0209c11359 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033289	NC_033289_Yuyuevirus_shaheense	NC_033289_Yuyuevirus_shaheense	Isopoda	Isopoda	China	China	2013	6556	Shahe yuevirus-like virus 1 strain SHWC0209c11789 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033291	NC_033291_Chuvivirus_brunnichi	NC_033291_Chuvivirus_brunnichi	Crustacea	Crustacea	China	China	2014	6699	Wenling crustacean virus 14 strain WLJQ104130 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033293	NC_033293_Crustacean_mivirus	NC_033293_Crustacean_mivirus	Crustacea	Crustacea	China	China	2014	6746	Wenling crustacean virus 13 strain WLJQ104251 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033296	NC_033296_Yingvirus_charybdis	NC_033296_Yingvirus_charybdis	Charybdis	Charybdis	China	China	2013	6186	Wenzhou qinvirus-like virus 2 strain WZRBX42684 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033327	NC_033327_Scarabeuvirus_hubeiense	NC_033327_Scarabeuvirus_hubeiense	Odonata	Odonata	China	China	2013	6873	Hubei chuvirus-like virus 1 strain QTM26249 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032544	NC_032544_Berhavirus_radialis	NC_032544_Berhavirus_radialis	Echinodermata	Echinodermata	China	China	2014	9404	Beihai rhabdo-like virus 5 strain BHJP63888 putative nucleoprotein, hypothetical protein 1, hypothetical protein 2, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032409	NC_032409_Wenling_chuvirus-like_virus_1	NC_032409_Wenling_chuvirus-like_virus_1	Crustacea	Crustacea	China	China	2014	6589	Wenling chuvirus-like virus 1 strain WLJQ101487 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032414	NC_032414_Wenling_chuvirus-like_virus_2	NC_032414_Wenling_chuvirus-like_virus_2	Crustacea	Crustacea	China	China	2014	6877	Wenling chuvirus-like virus 2 strain WLJQ104274 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032427	NC_032427_Pediavirus_cirripedis	NC_032427_Pediavirus_cirripedis	Thoracica	Thoracica	China	China	2014	11058	Beihai barnacle virus 9 strain BHTH10927 putative glycoprotein, hypothetical protein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032432	NC_032432_Beihai_barnacle_virus_7	NC_032432_Beihai_barnacle_virus_7	Thoracica	Thoracica	China	China	2014	11112	Beihai barnacle virus 7 strain BHTH16013 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, hypothetical protein 4, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032272	NC_032272_Yingvirus_beihaiense	NC_032272_Yingvirus_beihaiense	Sesarmidae	Sesarmidae	China	China	2014	5620	Beihai sesarmid crab virus 4 strain SCJXSX38901 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031691	NC_031691_Gata_virus	NC_031691_Gata_virus	Orgyia pseudotsugata	Orgyia	USA	USA	2016	11238	Gata virus strain M4 L protein, glycoprotein, matrix protein, phosphoprotein, and nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031302	NC_031302_Sigmavirus_hippoboscid	NC_031302_Sigmavirus_hippoboscid	Hippoboscidae	Hippoboscidae	China	China	2013	11370	Wuhan Louse Fly Virus 9 strain BFJSC-7 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031303	NC_031303_Wuhan_Mosquito_Virus_9	NC_031303_Wuhan_Mosquito_Virus_9	Culex tritaeniorhynchus	Culex	China	China	2013	13706	Wuhan Mosquito Virus 9 strain JX1-13 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerases genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031305	NC_031305_Ledantevirus_yongjia	NC_031305_Ledantevirus_yongjia	Haemaphysalis hystricis	Haemaphysalis	China	China	2012	10833	Yongjia Tick Virus 2 strain YJ1-2 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031232	NC_031232_Cytorhabdovirus_gammawuhaninsectum	NC_031232_Cytorhabdovirus_gammawuhaninsectum	Hyalopterus pruni	Hyalopterus	China	China	2013	14191	Wuhan Insect virus 6 strain SXCC01-1 nucleocapsid (N), phosphoprotein (P), 4b protein (4b), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031236	NC_031236_Wuhan_Insect_virus_7	NC_031236_Wuhan_Insect_virus_7	Hyalopterus pruni	Hyalopterus	China	China	2013	11165	Wuhan Insect virus 7 strain WHYC02 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031244	NC_031244_Anphevirus_xinchengense	NC_031244_Anphevirus_xinchengense	Anopheles sinensis	Anopheles	China	China	2013	12774	Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031259	NC_031259_Arlivirus_arachnae	NC_031259_Arlivirus_arachnae	Araneae	Araneae	China	China	2013	9924	Lishi Spider Virus 2 strain LSZZ-4 ORF1 (ORF1), ORF2 (ORF2), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031272	NC_031272_Tacheng_Tick_Virus_7	NC_031272_Tacheng_Tick_Virus_7	Argas miniatus	Argas	China	China	2013	13408	Tacheng Tick Virus 7 strain TCRP-3 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), ORF4 (ORF4), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031275	NC_031275_Crustavirus_wenzhouense	NC_031275_Crustavirus_wenzhouense	Capitulum mitella	Capitulum	China	China	2013	9591	Wenzhou Crab Virus 1 strain RBX2 nucleocapsid (N), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031276	NC_031276_Wuhan_Ant_Virus	NC_031276_Wuhan_Ant_Virus	Camponotus japonicus	Camponotus	China	China	2013	7202	Wuhan Ant Virus strain WHMY02 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031278	NC_031278_Sigmavirus_domestica	NC_031278_Sigmavirus_domestica	Musca domestica	Musca	China	China	2013	12247	Wuhan Fly Virus 2 strain SYY1-3 nucleocapsid (N), ORF2 (ORF2), X protein (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031282	NC_031282_Sigmavirus_wuhan	NC_031282_Sigmavirus_wuhan	Musca domestica	Musca	China	China	2013	12651	Wuhan House Fly Virus 1 strain SYY2-4 nucleocapsid (N), putative phosphoprotein (ORF2), putative X protein (ORF3), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031283	NC_031283_Alphadrosrhavirus_hubei	NC_031283_Alphadrosrhavirus_hubei	Musca domestica	Musca	China	China	2013	14731	Wuhan House Fly Virus 2 strain SYY4-5 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
