nt_uid	nt_accession	nt_organism	nt_title	nt_slen	tax_id	total_number_of_sequences	input_tax_id
1929514371	MW079213	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB61-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514369	MW079212	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB60-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514367	MW079211	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB59-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514365	MW079210	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB58-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514363	MW079209	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB57-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514361	MW079208	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB56-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514359	MW079207	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB52-NW coat protein gene, complete cds	1065	578361	119	578361
1929514357	MW079206	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB44-099 coat protein gene, complete cds	1065	578361	119	578361
1929514355	MW079205	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB31-057 coat protein gene, complete cds	1065	578361	119	578361
1929514353	MW079204	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB22-024 coat protein gene, complete cds	1065	578361	119	578361
1929514351	MW079203	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB5-057 coat protein gene, complete cds	1065	578361	119	578361
1929514349	MW079202	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB1-Y042 coat protein gene, complete cds	1065	578361	119	578361
1928713652	MN950795	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Hubei_JZ_DN19051, complete genome	3984	578361	119	578361
1924984345	LC591947	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus SK20 RNA, complete genome	4009	578361	119	578361
1869016907	MT603850	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate JEBU-p, complete genome	3999	578361	119	578361
1869016899	MT603849	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate GYNA-p, complete genome	3997	578361	119	578361
1869016892	MT603848	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate GYGI-p, complete genome	4002	578361	119	578361
1869016885	MT603847	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate GYGI-106, complete genome	4008	578361	119	578361
1869016878	MT603846	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate GYBU-p, complete genome	4002	578361	119	578361
1869016871	MT603845	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate GAWO-p, complete genome	3985	578361	119	578361
1869016864	MT603844	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate CHNA-p, complete genome	3994	578361	119	578361
1869016857	MT603843	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate CHBU-p, complete genome	3948	578361	119	578361
1869016843	MT603841	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate CHBU-139, complete genome	3981	578361	119	578361
1770207311	MK660369	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Pyeongtaek coat protein gene, complete cds	1065	578361	119	578361
1770207309	MK660368	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Suwon476 coat protein gene, complete cds	1065	578361	119	578361
1770207307	MK660367	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Suwon416 coat protein gene, complete cds	1065	578361	119	578361
1770207305	MK660366	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Suwon314 coat protein gene, complete cds	1065	578361	119	578361
1770207303	MK660365	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Daegu1-322 coat protein gene, complete cds	1065	578361	119	578361
1770207301	MK660364	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Daegu1-455 coat protein gene, complete cds	1065	578361	119	578361
1770207299	MK660363	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Chuncheon379 coat protein gene, complete cds	1065	578361	119	578361
1770207297	MK660362	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Chuncheon365 coat protein gene, complete cds	1065	578361	119	578361
1770207295	MK660361	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Chuncheon304 coat protein gene, complete cds	1065	578361	119	578361
1770207293	MK660360	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Jeonnam277 coat protein gene, complete cds	1065	578361	119	578361
1770207291	MK660359	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Buan106 coat protein gene, complete cds	1065	578361	119	578361
1770207289	MK660358	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Gimje2-12 coat protein gene, complete cds	1065	578361	119	578361
1708609792	MK130864	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate Sb-1, complete genome	3974	578361	119	578361
1480119838	MG768974	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain SB 1 coat protein (CP) gene, complete cds	1065	578361	119	578361
216905810	NC_011643	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus, complete genome	4009	578361	119	578361
1376219219	MF716520	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate CC2245 coat protein (CP) gene, complete cds	1065	578361	119	578361
873827934	KP259608	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate New Delhi, complete genome	3974	578361	119	578361
930491110	KR260903	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate BG-42 coat protein (CP) gene, complete cds	1065	578361	119	578361
930491108	KR260902	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate MB-18 coat protein (CP) gene, complete cds	1065	578361	119	578361
751871686	KM881471	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate 185 putative movement protein gene, complete cds	489	578361	119	578361
751871684	KM881470	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate 184 putative movement protein gene, complete cds	489	578361	119	578361
751871682	KM881469	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate 134 putative movement protein gene, complete cds	489	578361	119	578361
751871680	KM881468	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate 183 putative movement protein gene, complete cds	489	578361	119	578361
751871678	KM881467	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate 113 putative movement protein gene, complete cds	489	578361	119	578361
224589248	FJ707484	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain MS1, complete genome	4009	578361	119	578361
215513440	FJ457015	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus from South Korea, complete genome	4009	578361	119	578361
218456813	FJ494883	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain GM1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456811	FJ494882	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Geomundo coat protein (CP) gene, complete cds	1065	578361	119	578361
218456809	FJ494881	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Uljin coat protein (CP) gene, complete cds	1065	578361	119	578361
218456807	FJ494880	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Sunchang coat protein (CP) gene, complete cds	1065	578361	119	578361
218456805	FJ494879	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Seosan coat protein (CP) gene, complete cds	1065	578361	119	578361
218456803	FJ494878	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Sangju2 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456801	FJ494877	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Sangju1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456799	FJ494876	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Mungyeong2 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456797	FJ494875	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Mungyeong1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456795	FJ494874	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain KW3 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456793	FJ494873	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain KW2 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456791	FJ494872	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain KW1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456789	FJ494871	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain JP-1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456787	FJ494870	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB32 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456785	FJ494869	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB31 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456783	FJ494868	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB30 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456781	FJ494867	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB29 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456779	FJ494866	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB28 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456777	FJ494865	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB27 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456775	FJ494864	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB26 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456773	FJ494863	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB25 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456771	FJ494862	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB24 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456769	FJ494861	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB23 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456767	FJ494860	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB22 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456765	FJ494859	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB21 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456763	FJ494858	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB20 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456761	FJ494857	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB19 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456759	FJ494856	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB18 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456757	FJ494855	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB17 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456755	FJ494854	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB16 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456753	FJ494853	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB15 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456751	FJ494852	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB14 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456749	FJ494851	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB13 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456747	FJ494850	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB12 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456745	FJ494849	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB11 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456743	FJ494848	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB10 coat protein (CP) gene, complete cds	1068	578361	119	578361
218456741	FJ494847	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB9 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456739	FJ494846	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB8 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456737	FJ494845	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB7 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456735	FJ494844	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB6 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456733	FJ494843	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB5 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456731	FJ494842	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB4 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456729	FJ494841	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB3 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456727	FJ494840	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain HB1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456725	FJ494839	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Habin4 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456723	FJ494838	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Habin3 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456721	FJ494837	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Habin2 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456719	FJ494836	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Habin1 coat protein (CP) gene, complete cds	1065	578361	119	578361
218456717	FJ494835	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Goesan coat protein (CP) gene, complete cds	1065	578361	119	578361
218456715	FJ494834	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus strain Gimhae coat protein (CP) gene, complete cds	1065	578361	119	578361
1917123577	LC553683	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus J-YC genomic RNA, segment 4, complete sequence	2866	607716	16	607716
1917123575	LC553682	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus J-YC genomic RNA, segment 3, complete sequence	3126	607716	16	607716
1917123573	LC553681	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus J-YC genomic RNA, segment 2, complete sequence	3167	607716	16	607716
1917123571	LC553680	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus J-YC genomic RNA, segment 1, complete sequence	3562	607716	16	607716
1799666559	LC350097	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus AfuCV41362 genomic RNA, segment 4, complete sequence	2611	607716	16	607716
1799666557	LC350096	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus AfuCV41362 genomic RNA, segment 3, complete sequence	2728	607716	16	607716
1799666555	LC350095	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus AfuCV41362 genomic RNA, segment 2, complete sequence	2863	607716	16	607716
1799666553	LC350094	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus AfuCV41362 genomic RNA, segment 1, complete sequence	3564	607716	16	607716
1464310192	NC_038874	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 4, complete sequence, isolate A-56, genomic RNA	2863	607716	16	607716
1464310190	NC_038873	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 2, complete sequence, isolate A-56, genomic RNA	3159	607716	16	607716
1464310188	NC_038872	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 1, complete sequence, isolate A-56, genomic RNA	3560	607716	16	607716
1464310186	NC_038871	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 3, complete sequence, isolate A-56, genomic RNA	3006	607716	16	607716
300681815	FN178513	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 2, complete sequence, isolate A-56, genomic RNA	3159	607716	16	607716
300681807	FN178512	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 1, complete sequence, isolate A-56, genomic RNA	3560	607716	16	607716
300681262	FN178515	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 4, complete sequence, isolate A-56, genomic RNA	2863	607716	16	607716
300681260	FN178514	Alphachrysovirus aspergilli	Aspergillus fumigatus chrysovirus segment 3, complete sequence, isolate A-56, genomic RNA	3006	607716	16	607716
2280597499	OL700055	Culex tritaeniorhynchus rhabdovirus	MAG: Culex tritaeniorhynchus rhabdovirus isolate XY40850 nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	11170	936308	6	936308
2026661703	MW452298	Culex tritaeniorhynchus rhabdovirus	Culex tritaeniorhynchus rhabdovirus strain YX204 nucleoprotein, phosphoprotein, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	11204	936308	6	936308
1820533770	LC514403	Culex tritaeniorhynchus rhabdovirus	Culex tritaeniorhynchus rhabdovirus 17CxIT N, P, M, G, L genes for nucleoprotein, phosphoprotein, matrix protein, glycoprotein, RNA-dependent RNA polymerase, complete cds	11228	936308	6	936308
700895635	NC_025384	Culex tritaeniorhynchus rhabdovirus	Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY	11190	936308	6	936308
985700845	LC026102	Culex tritaeniorhynchus rhabdovirus	Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK	11190	936308	6	936308
336174374	AB604791	Culex tritaeniorhynchus rhabdovirus	Culex tritaeniorhynchus rhabdovirus RNA, complete genome, strain: TY	11190	936308	6	936308
629633533	NC_024071	Tanay virus	Tanay virus isolate 11-2, complete genome	9578	1489714	13	1489714
1511262732	MG551506	Tanay virus	Tanay virus isolate GX13M33, complete genome	9591	1489714	13	1489714
1511262728	MG551505	Tanay virus	Tanay virus isolate GX13M52, complete genome	9595	1489714	13	1489714
1511262724	MG551504	Tanay virus	Tanay virus isolate GX13M31, complete genome	9591	1489714	13	1489714
1511262720	MG551503	Tanay virus	Tanay virus isolate GX13M50, complete genome	9588	1489714	13	1489714
1511262716	MG551502	Tanay virus	Tanay virus isolate GX13M34, complete genome	9589	1489714	13	1489714
1511262712	MG551501	Tanay virus	Tanay virus isolate GX13M44, complete genome	9589	1489714	13	1489714
1511262708	MG551500	Tanay virus	Tanay virus isolate GX13M36, complete genome	9590	1489714	13	1489714
1331182883	MG673930	Tanay virus	Tanay virus isolate YN15_103_01, complete genome	9587	1489714	13	1489714
614501079	KF425264	Tanay virus	Tanay virus isolate 11-5, complete genome	9578	1489714	13	1489714
614501075	KF425263	Tanay virus	Tanay virus isolate 11-4, complete genome	9579	1489714	13	1489714
614501071	KF425262	Tanay virus	Tanay virus isolate 11-3, complete genome	9581	1489714	13	1489714
614501067	KF425261	Tanay virus	Tanay virus isolate 11-2, complete genome	9578	1489714	13	1489714
953357322	KT601108	Wallemia sebi mycovirus 1	Wallemia sebi mycovirus 1 cap-pol fusion protein (gp1) gene, partial cds	5857	1755787	1	1755787
1997116233	MT240828	Menghai rhabdovirus	Menghai rhabdovirus isolate GD18010, complete genome	10744	1919071	8	1919071
1997116226	MT240827	Menghai rhabdovirus	Menghai rhabdovirus isolate GD18008, complete genome	10744	1919071	8	1919071
1997116219	MT240826	Menghai rhabdovirus	Menghai rhabdovirus isolate GD18005, complete genome	10744	1919071	8	1919071
1997116212	MT240825	Menghai rhabdovirus	Menghai rhabdovirus isolate GD18004, complete genome	10743	1919071	8	1919071
1997116205	MT240824	Menghai rhabdovirus	Menghai rhabdovirus isolate GD18003, complete genome	10744	1919071	8	1919071
1440884921	LC270812	Menghai rhabdovirus	Menghai rhabdovirus RNA, complete genome, strain: kunoichi	10777	1919071	8	1919071
1571837136	NC_040602	Menghai rhabdovirus	Menghai rhabdovirus isolate Menghai, complete genome	10744	1919071	8	1919071
1108638025	KX785335	Menghai rhabdovirus	Menghai rhabdovirus, complete genome	10744	1919071	8	1919071
1126394313	NC_032442	Beihai barnacle virus 2	Beihai barnacle virus 2 strain BHTH16123 RdRp and hypothetical protein genes, complete cds	9154	1922360	2	1922360
1110865246	KX883747	Beihai barnacle virus 2	Beihai barnacle virus 2 strain BHTH16123 RdRp and hypothetical protein genes, complete cds	9154	1922360	2	1922360
1127298531	NC_032565	Beihai sipunculid worm virus 5	Beihai sipunculid worm virus 5 strain BHNXC41492 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	12524	1922677	2	1922677
1110864212	KX883408	Beihai sipunculid worm virus 5	Beihai sipunculid worm virus 5 strain BHNXC41492 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	12524	1922677	2	1922677
1132371124	NC_033014	Hubei mosquito virus 1	Hubei mosquito virus 1 strain mosHB236488 hypothetical protein gene, complete cds	9074	1922925	3	1922925
1110865810	KX883918	Hubei mosquito virus 1	Hubei mosquito virus 1 strain mosZJ34341 hypothetical protein gene, complete cds	9070	1922925	3	1922925
1110865808	KX883917	Hubei mosquito virus 1	Hubei mosquito virus 1 strain mosHB236488 hypothetical protein gene, complete cds	9074	1922925	3	1922925
2026661665	MW452285	Hubei partiti-like virus 22	Hubei partiti-like virus 22 strain HPLV22/YX195 RNA-dependent RNA polymerase gene, complete cds	1747	1923029	5	1923029
1820533766	LC514401	Hubei partiti-like virus 22	Hubei partiti-like virus 22 17CxNGK-Ctr-231 gene for RNA-dependent RNA polymerase, complete cds	1752	1923029	5	1923029
1820533764	LC514400	Hubei partiti-like virus 22	Hubei partiti-like virus 22 17CxIT-T2-G19 gene for RNA-dependent RNA polymerase, complete cds	1744	1923029	5	1923029
1110866390	KX884168	Hubei partiti-like virus 22	Hubei partiti-like virus 22 strain spider58365 RdRp gene, partial cds	1654	1923029	5	1923029
1110866260	KX884104	Hubei partiti-like virus 22	Hubei partiti-like virus 22 strain mosZJ34436 RdRp gene, complete cds	1729	1923029	5	1923029
2080101273	MZ244337	Hubei permutotetra-like virus 4	MAG: Hubei permutotetra-like virus 4 isolate 359unRvc2 capsid protein gene, partial cds	480	1923078	3	1923078
1132371495	NC_033140	Hubei permutotetra-like virus 4	Hubei permutotetra-like virus 4 strain QTM26287 RdRp, putative capsid protein, and hypothetical protein genes, complete cds	4772	1923078	3	1923078
1110864322	KX883445	Hubei permutotetra-like virus 4	Hubei permutotetra-like virus 4 strain QTM26287 RdRp, putative capsid protein, and hypothetical protein genes, complete cds	4772	1923078	3	1923078
1132350232	NC_033116	Hubei picorna-like virus 77	Hubei picorna-like virus 77 strain WHCC115343 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	8961	1923161	2	1923161
1110866616	KX884269	Hubei picorna-like virus 77	Hubei picorna-like virus 77 strain WHCC115343 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	8961	1923161	2	1923161
1125811808	NC_032222	Hubei picorna-like virus 82	Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	11081	1923167	2	1923167
1110865062	KX883688	Hubei picorna-like virus 82	Hubei picorna-like virus 82 strain spider133992 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	11081	1923167	2	1923167
1125811904	NC_032253	Hubei sobemo-like virus 41	Hubei sobemo-like virus 41 strain 3mos6151 hypothetical protein genes, complete cds	2787	1923229	3	1923229
1110862653	KX882872	Hubei sobemo-like virus 41	Hubei sobemo-like virus 41 strain spider133517 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	2785	1923229	3	1923229
