sample_id	'ref_id	'total_reads	'mapped_reads	'average_cov	'norm_average_cov	'percentage_covered	'mosquito_id	'genus_species	'Location	'Batch	'LibPool	'percentage_mapped	'rRNA	'Batch_rounded
F1059	'Aedes_aegypti_16S_NC_035159	'17648464	'738411	'35576.688155922	'2015.8518132752	'100	'F1059	'Aedes aegypti	'Sihanuokville	'15.1	'15	'4.18399584235773	'16S	'15
F1060	'Aedes_aegypti_16S_NC_035159	'9292570	'131891	'6256.77136431784	'673.309037684714	'100	'F1060	'Aedes aegypti	'Sihanuokville	'15.1	'14	'1.41931672293026	'16S	'15
F1061	'Aedes_aegypti_16S_NC_035159	'12159078	'6131	'337.488005997001	'27.7560523912258	'99.33	'F1061	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.0504232311035426	'16S	'1
F1062	'Aedes_aegypti_16S_NC_035159	'12038282	'116324	'5486.19790104948	'455.72930597983	'100	'F1062	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0.966284059469615	'16S	'15
F1063	'Aedes_aegypti_16S_NC_035159	'7937616	'3499	'191.464017991005	'24.1210985755678	'99.33	'F1063	'Aedes aegypti	'Sihanuokville	'1.3	'2	'0.0440812455528209	'16S	'1
F1064	'Aedes_aegypti_16S_NC_035159	'9211774	'6596	'337.845577211394	'36.6754087987172	'100	'F1064	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0716040146013135	'16S	'15
F1065	'Aedes_aegypti_16S_NC_035159	'6185034	'7780	'376.727886056971	'60.9095901585944	'97.38	'F1065	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.125787505776039	'16S	'15
F1067	'Aedes_aegypti_16S_NC_035159	'6988392	'39604	'1910.74737631184	'273.417314929077	'100	'F1067	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.566711197654625	'16S	'15
F1068	'Aedes_aegypti_16S_NC_035159	'9296110	'2615	'132.224137931034	'14.2235986806346	'99.63	'F1068	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.028130045793348	'16S	'15
F1084	'Aedes_aegypti_16S_NC_035159	'8768366	'7815	'415.100449775112	'47.3406846583631	'100	'F1084	'Aedes aegypti	'Sihanuokville	'17	'19	'0.0891272102464701	'16S	'17
F1085	'Aedes_aegypti_16S_NC_035159	'12386552	'555205	'30435.1656671664	'2457.11362348186	'100	'F1085	'Aedes aegypti	'Sihanuokville	'5.1	'5	'4.48232082665136	'16S	'5
F1086	'Aedes_aegypti_16S_NC_035159	'10646710	'143212	'7893.22113943028	'741.376551012499	'100	'F1086	'Aedes aegypti	'Sihanuokville	'5.1	'5	'1.34512915257389	'16S	'5
F1335	'Aedes_aegypti_16S_NC_035159	'12184458	'9723	'535.670914542729	'43.963458575074	'100	'F1335	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.0797983792139133	'16S	'1
F1336	'Aedes_aegypti_16S_NC_035159	'8853646	'110532	'6130.84107946027	'692.465124476433	'100	'F1336	'Aedes aegypti	'Kompong Thom	'4.2	'4	'1.24843482560744	'16S	'4
F1339	'Aedes_aegypti_16S_NC_035159	'14315226	'234320	'12913.5202398801	'902.08287594482	'100	'F1339	'Aedes aegypti	'Kompong Thom	'1.1	'1	'1.63685854488081	'16S	'1
F1503	'Aedes_aegypti_16S_NC_035159	'12856586	'34377	'1892.28260869565	'147.183910930604	'99.4	'F1503	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.267388247548766	'16S	'1
F1504	'Aedes_aegypti_16S_NC_035159	'12515762	'202224	'11139.2263868066	'890.01583657524	'100	'F1504	'Aedes aegypti	'Preah Vihear	'1.2	'1	'1.615754598082	'16S	'1
F1505	'Aedes_aegypti_16S_NC_035159	'11118220	'102604	'5698.57871064468	'512.544158205601	'99.93	'F1505	'Aedes aegypti	'Preah Vihear	'10.1	'10	'0.922845563408531	'16S	'10
F1506	'Aedes_aegypti_16S_NC_035159	'9760284	'39232	'2166.06596701649	'221.926530725591	'100	'F1506	'Aedes aegypti	'Preah Vihear	'4.1	'4	'0.401955516868157	'16S	'4
F1507	'Aedes_aegypti_16S_NC_035159	'10744470	'20367	'1118.46926536732	'104.097202129776	'100	'F1507	'Aedes aegypti	'Preah Vihear	'1.3	'2	'0.189557977266445	'16S	'1
F1001	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'13500456	'511	'18.6130982367758	'1.37870144806782	'57.23	'F1001	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.00378505733435967	'18S	'6
F1002	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'7595396	'168	'6.13853904282116	'0.808192099901198	'52.8	'F1002	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.00221186624107551	'18S	'6
F1058	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'14428646	'327	'11.8569269521411	'0.82176296737345	'57.08	'F1058	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.00226632492057813	'18S	'1
F1059	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'17648464	'4889	'177.771284634761	'10.0729040575294	'26.55	'F1059	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0.0277021275052605	'18S	'15
F1060	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'9292570	'6783	'240.429722921914	'25.8733292212934	'51.23	'F1060	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.072993800423349	'18S	'15
F1061	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12159078	'138	'4.85289672544081	'0.399117163771859	'52.19	'F1061	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.00113495447598905	'18S	'1
F1062	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12038282	'2153	'77.3929471032746	'6.42890298659514	'37.08	'F1062	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0.0178846117743379	'18S	'15
F1063	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'7937616	'37	'1.11536523929471	'0.140516401813178	'36.93	'F1063	'Aedes aegypti	'Sihanuokville	'1.3	'2	'0.000466134920106994	'18S	'1
F1064	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'9211774	'70	'2.57682619647355	'0.27973180806146	'25.79	'F1064	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.000759897062172824	'18S	'15
F1065	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'6185034	'45	'1.61863979848866	'0.261702651673162	'20.4	'F1065	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.000727562694077349	'18S	'15
F1067	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'6988392	'1012	'36.4846347607053	'5.22074817221262	'28.97	'F1067	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.0144811567525119	'18S	'15
F1068	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'9296110	'226	'7.91788413098237	'0.851741656561978	'24.74	'F1068	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.00243112441655703	'18S	'15
F1084	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'8768366	'1641	'58.3415617128463	'6.65364125001698	'43.02	'F1084	'Aedes aegypti	'Sihanuokville	'17	'19	'0.0187150034567444	'18S	'17
F1085	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12386552	'1461	'52.8589420654912	'4.26744602254858	'65.19	'F1085	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.0117950499864692	'18S	'5
F1086	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'10646710	'502	'18.2372795969773	'1.71294978420351	'60.15	'F1086	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.00471507160427963	'18S	'5
F1335	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12184458	'31	'1.10277078085642	'0.0905063467621147	'38.79	'F1335	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.000254422478209535	'18S	'1
F1336	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'8853646	'149	'5.41863979848867	'0.612023543576134	'49.37	'F1336	'Aedes aegypti	'Kompong Thom	'4.2	'4	'0.001682922493174	'18S	'4
F1339	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'14315226	'3033	'109.517884130982	'7.65044744183447	'64.48	'F1339	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.021187230994467	'18S	'1
F1503	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12856586	'587	'21.2392947103275	'1.65201669481521	'56.98	'F1503	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.00456575330340419	'18S	'1
F1504	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'12515762	'654	'23.2166246851385	'1.85499090547891	'62.87	'F1504	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.00522541096578858	'18S	'1
F1505	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'11118220	'3074	'111.309823677582	'10.0114787868545	'66.65	'F1505	'Aedes aegypti	'Preah Vihear	'10.1	'10	'0.0276483106108712	'18S	'10
F1506	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'9760284	'1121	'40.2508816120907	'4.12394573888328	'64.53	'F1506	'Aedes aegypti	'Preah Vihear	'4.1	'4	'0.0114853215336767	'18S	'4
F1507	'Aedes_aegypti_18S_AAGE02033765_6222_8206	'10744470	'19182	'697.137531486146	'64.883380146824	'66.85	'F1507	'Aedes aegypti	'Preah Vihear	'1.3	'2	'0.17852904796607	'18S	'1
F1001	'Aedes_aegypti_28S_AAGE02006997_1_2632	'13500456	'2247	'62.6280395136778	'4.63895734437991	'92.1	'F1001	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.0166438822510884	'28S	'6
F1002	'Aedes_aegypti_28S_AAGE02006997_1_2632	'7595396	'755	'21.0573708206687	'2.77238616928843	'91	'F1002	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.00994023221435722	'28S	'6
F1058	'Aedes_aegypti_28S_AAGE02006997_1_2632	'14428646	'1874	'52.6086626139818	'3.64612608930746	'93.28	'F1058	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.012988051685515	'28S	'1
F1059	'Aedes_aegypti_28S_AAGE02006997_1_2632	'17648464	'151708	'4273.09840425532	'242.122963463297	'67.36	'F1059	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0.859610218770313	'28S	'15
F1060	'Aedes_aegypti_28S_AAGE02006997_1_2632	'9292570	'481639	'13414.2667173252	'1443.54755652368	'84.57	'F1060	'Aedes aegypti	'Sihanuokville	'15.1	'14	'5.18305484919672	'28S	'15
F1061	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12159078	'1709	'47.9300911854103	'3.94191822648151	'87.77	'F1061	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.0140553420251108	'28S	'1
F1062	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12038282	'73195	'2050.27203647416	'170.312677213756	'65.16	'F1062	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0.608018652495431	'28S	'15
F1063	'Aedes_aegypti_28S_AAGE02006997_1_2632	'7937616	'156	'4.25987841945289	'0.536669753166806	'84.92	'F1063	'Aedes aegypti	'Sihanuokville	'1.3	'2	'0.00196532560909976	'28S	'1
F1064	'Aedes_aegypti_28S_AAGE02006997_1_2632	'9211774	'4815	'135.609042553192	'14.7212732914628	'60.68	'F1064	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0522700622051735	'28S	'15
F1065	'Aedes_aegypti_28S_AAGE02006997_1_2632	'6185034	'867	'24.4593465045593	'3.95460178627301	'46.73	'F1065	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0140177079058903	'28S	'15
F1067	'Aedes_aegypti_28S_AAGE02006997_1_2632	'6988392	'37569	'1043.98366261398	'149.388251634136	'53.38	'F1067	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.537591480271857	'28S	'15
F1068	'Aedes_aegypti_28S_AAGE02006997_1_2632	'9296110	'2463	'69.4521276595745	'7.47109572278883	'54.56	'F1068	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0264949532653981	'28S	'15
F1084	'Aedes_aegypti_28S_AAGE02006997_1_2632	'8768366	'5798	'162.499240121581	'18.5324426605345	'88.68	'F1084	'Aedes aegypti	'Sihanuokville	'17	'19	'0.0661240646204777	'28S	'17
F1085	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12386552	'3417	'94.7302431610942	'7.64782993371313	'93.96	'F1085	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.0275863694755409	'28S	'5
F1086	'Aedes_aegypti_28S_AAGE02006997_1_2632	'10646710	'1652	'46.1766717325228	'4.33717756307092	'91.95	'F1086	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.0155165304587051	'28S	'5
F1335	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12184458	'433	'12.1386778115502	'0.996242739032803	'86.09	'F1335	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.00355370751821706	'28S	'1
F1336	'Aedes_aegypti_28S_AAGE02006997_1_2632	'8853646	'2555	'71.8780395136778	'8.11846774918241	'89.59	'F1336	'Aedes aegypti	'Kompong Thom	'4.2	'4	'0.0288581675842924	'28S	'4
F1339	'Aedes_aegypti_28S_AAGE02006997_1_2632	'14315226	'7209	'201.455167173252	'14.0727898513968	'94	'F1339	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.0503589674378875	'28S	'1
F1503	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12856586	'5134	'144.066869300912	'11.2056862763499	'92.78	'F1503	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.0399328406468093	'28S	'1
F1504	'Aedes_aegypti_28S_AAGE02006997_1_2632	'12515762	'2358	'65.866641337386	'5.26269525877737	'92.1	'F1504	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.0188402432069258	'28S	'1
F1505	'Aedes_aegypti_28S_AAGE02006997_1_2632	'11118220	'24105	'672.41603343465	'60.4787487056966	'93.88	'F1505	'Aedes aegypti	'Preah Vihear	'10.1	'10	'0.216806287337362	'28S	'10
F1506	'Aedes_aegypti_28S_AAGE02006997_1_2632	'9760284	'2211	'61.1025835866261	'6.26032844808882	'80.85	'F1506	'Aedes aegypti	'Preah Vihear	'4.1	'4	'0.0226530293585719	'28S	'4
F1507	'Aedes_aegypti_28S_AAGE02006997_1_2632	'10744470	'78392	'2190.45022796353	'203.867685233755	'93.35	'F1507	'Aedes aegypti	'Preah Vihear	'1.3	'2	'0.729603228451473	'28S	'1
F1001	'Aedes_aegypti_5p8S_GU980956	'13500456	'3	'1.45161290322581	'0.107523249823992	'88.39	'F1001	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'2.22214716302916e-05	'5.8S	'6
F1002	'Aedes_aegypti_5p8S_GU980956	'7595396	'0	'0	'0	'0	'F1002	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0	'5.8S	'6
F1058	'Aedes_aegypti_5p8S_GU980956	'14428646	'14	'6.33548387096774	'0.439090672192508	'91.61	'F1058	'Aedes aegypti	'Sihanuokville	'1.3	'1	'9.70292014926418e-05	'5.8S	'1
F1059	'Aedes_aegypti_5p8S_GU980956	'17648464	'0	'0	'0	'0	'F1059	'Aedes aegypti	'Sihanuokville	'15.1	'15	'0	'5.8S	'15
F1060	'Aedes_aegypti_5p8S_GU980956	'9292570	'11	'4.93548387096774	'0.531121516541467	'48.39	'F1060	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.000118374141921987	'5.8S	'15
F1061	'Aedes_aegypti_5p8S_GU980956	'12159078	'0	'0	'0	'0	'F1061	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0	'5.8S	'1
F1062	'Aedes_aegypti_5p8S_GU980956	'12038282	'1	'0.103225806451613	'0.0085747955108223	'10.32	'F1062	'Aedes aegypti	'Sihanuokville	'15.1	'15	'8.3068331511091e-06	'5.8S	'15
F1063	'Aedes_aegypti_5p8S_GU980956	'7937616	'0	'0	'0	'0	'F1063	'Aedes aegypti	'Sihanuokville	'1.3	'2	'0	'5.8S	'1
F1064	'Aedes_aegypti_5p8S_GU980956	'9211774	'0	'0	'0	'0	'F1064	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0	'5.8S	'15
F1065	'Aedes_aegypti_5p8S_GU980956	'6185034	'0	'0	'0	'0	'F1065	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0	'5.8S	'15
F1067	'Aedes_aegypti_5p8S_GU980956	'6988392	'0	'0	'0	'0	'F1067	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0	'5.8S	'15
F1068	'Aedes_aegypti_5p8S_GU980956	'9296110	'0	'0	'0	'0	'F1068	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0	'5.8S	'15
F1084	'Aedes_aegypti_5p8S_GU980956	'8768366	'0	'0	'0	'0	'F1084	'Aedes aegypti	'Sihanuokville	'17	'19	'0	'5.8S	'17
F1085	'Aedes_aegypti_5p8S_GU980956	'12386552	'20	'9.47096774193548	'0.764616960550078	'92.9	'F1085	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.000161465434448586	'5.8S	'5
F1086	'Aedes_aegypti_5p8S_GU980956	'10646710	'16	'7.34838709677419	'0.690202616279977	'92.9	'F1086	'Aedes aegypti	'Sihanuokville	'5.1	'5	'0.000150281166670267	'5.8S	'5
F1335	'Aedes_aegypti_5p8S_GU980956	'12184458	'0	'0	'0	'0	'F1335	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0	'5.8S	'1
F1336	'Aedes_aegypti_5p8S_GU980956	'8853646	'0	'0	'0	'0	'F1336	'Aedes aegypti	'Kompong Thom	'4.2	'4	'0	'5.8S	'4
F1339	'Aedes_aegypti_5p8S_GU980956	'14315226	'45	'21.4064516129032	'1.49536246321946	'100	'F1339	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.000314350608226514	'5.8S	'1
F1503	'Aedes_aegypti_5p8S_GU980956	'12856586	'4	'1.89032258064516	'0.147031457701536	'98.06	'F1503	'Aedes aegypti	'Preah Vihear	'1.2	'1	'3.11124586262636e-05	'5.8S	'1
F1504	'Aedes_aegypti_5p8S_GU980956	'12515762	'0	'0	'0	'0	'F1504	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0	'5.8S	'1
F1505	'Aedes_aegypti_5p8S_GU980956	'11118220	'6	'2.89032258064516	'0.259962708117411	'65.81	'F1505	'Aedes aegypti	'Preah Vihear	'10.1	'10	'5.39654728904447e-05	'5.8S	'10
F1506	'Aedes_aegypti_5p8S_GU980956	'9760284	'0	'0	'0	'0	'F1506	'Aedes aegypti	'Preah Vihear	'4.1	'4	'0	'5.8S	'4
F1507	'Aedes_aegypti_5p8S_GU980956	'10744470	'460	'217.148387096774	'20.2102464892893	'99.35	'F1507	'Aedes aegypti	'Preah Vihear	'1.3	'2	'0.0042812721334789	'5.8S	'1
F1003	'Aedes_albopictus_12S_NC_006817	'9634240	'51423	'4700.19402985075	'487.863498298853	'100	'F1003	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.533752532633607	'12S	'3
F1004	'Aedes_albopictus_12S_NC_006817	'10499140	'27666	'2537.8644278607	'241.721172197027	'100	'F1004	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.263507296788118	'12S	'6
F1005	'Aedes_albopictus_12S_NC_006817	'11350982	'33455	'3069.73258706468	'270.437622671296	'99.63	'F1005	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.294732209072308	'12S	'1
F1006	'Aedes_albopictus_12S_NC_006817	'14489092	'8527	'781.965174129353	'53.9692324494422	'100	'F1006	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0588511688655162	'12S	'6
F1007	'Aedes_albopictus_12S_NC_006817	'11425918	'21734	'1981.50621890547	'173.422058420643	'100	'F1007	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.190216663553861	'12S	'3
F1008	'Aedes_albopictus_12S_NC_006817	'7570608	'5386	'494.940298507463	'65.3765587265201	'97.26	'F1008	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.071143559407646	'12S	'6
F1009	'Aedes_albopictus_12S_NC_006817	'14390748	'36546	'3318.65671641791	'230.61043918064	'99.63	'F1009	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.253954832646642	'12S	'1
F1010	'Aedes_albopictus_12S_NC_006817	'9240394	'2566	'234.870646766169	'25.4178173318334	'99.75	'F1010	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.0277693786650223	'12S	'3
F1012	'Aedes_albopictus_12S_NC_006817	'11964064	'32336	'2954.81343283582	'246.974057714487	'99.88	'F1012	'Aedes albopictus	'Battambang & Pailin	'2.2	'3	'0.270276053354445	'12S	'2
F1013	'Aedes_albopictus_12S_NC_006817	'9724094	'10083	'922.48631840796	'94.8660428835797	'99.75	'F1013	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.103690893979429	'12S	'6
F1014	'Aedes_albopictus_12S_NC_006817	'8846766	'5161	'473.082089552239	'53.475144425911	'97.14	'F1014	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0583377021614452	'12S	'6
F1015	'Aedes_albopictus_12S_NC_006817	'12581618	'39194	'3586.8855721393	'285.089371823187	'99.75	'F1015	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.311517962157172	'12S	'1
F1016	'Aedes_albopictus_12S_NC_006817	'7917742	'17335	'1588.80223880597	'200.663552665137	'99.63	'F1016	'Aedes albopictus	'Battambang & Pailin	'5.1	'5	'0.218938682265727	'12S	'5
F1017	'Aedes_albopictus_12S_NC_006817	'8961060	'7067	'567.113184079602	'63.2863951451728	'97.76	'F1017	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0788634380307687	'12S	'6
F1069	'Aedes_albopictus_12S_NC_006817	'9625510	'17246	'1573.10199004975	'163.430508102921	'97.39	'F1069	'Aedes albopictus	'Sihanuokville	'2.2	'3	'0.179169727110564	'12S	'2
F1070	'Aedes_albopictus_12S_NC_006817	'9303792	'5603	'511.692786069652	'54.9983045697552	'97.26	'F1070	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.0602227564846678	'12S	'1
