qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas	contig_len
F1569_NODE_7159_length_337_cov_1.347518	QSG73334.1	98.8	83	1	0	252	4	4089	4171	4405	5.4e-44	163.7	QSG73334.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	337
F1571_NODE_10874_length_313_cov_1.472868	QOS49686.1	100	79	0	0	1	237	197	275	275	1.7e-48	165.6	QOS49686.1 ORF3a protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	313
F1571_NODE_14022_length_274_cov_0.867580	QSX84168.1	100	40	0	0	38	157	82	121	121	1.3e-20	89.4	QSX84168.1 ORF8 protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	274
F1571_NODE_17227_length_248_cov_0.994819	QXI91600.1	100	82	0	0	2	247	5079	5160	7093	3.7e-46	168.3	QXI91600.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	248
F1571_NODE_21023_length_208_cov_1.241830	QVX21092.1	100	68	0	0	3	206	5	72	222	1.4e-38	137.1	QVX21092.1 membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208
F1571_NODE_7883_length_385_cov_1.745455	QWT56974.1	100	127	0	0	3	383	6005	6131	7096	6e-80	267.3	QWT56974.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	385
F1571_NODE_9372_length_345_cov_1.282759	QVJ87818.1	100	114	0	0	3	344	3280	3393	7093	5.6e-72	243.8	QVJ87818.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	345
F1576_NODE_14317_length_273_cov_1.761468	QSV27740.1	100	91	0	0	1	273	4997	5087	7096	9.4e-55	193.4	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	273
F1576_NODE_21102_length_233_cov_1.073034	QSV27740.1	98.7	77	1	0	231	1	5643	5719	7096	3.5e-40	151	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233
F1576_NODE_8909_length_324_cov_0.869888	QUV56870.1	98.1	108	2	0	324	1	3963	4070	7096	4.7e-56	198	QUV56870.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324
F1618_NODE_20541_length_241_cov_1.021505	QSV27740.1	100	60	0	0	2	181	4466	4525	7096	3e-33	131.3	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	241
F1618_NODE_23313_length_229_cov_1.103448	QQL13259.1	98.7	76	1	0	1	228	3100	3175	7096	9.6e-41	152.5	QQL13259.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	229
F1619_NODE_10989_length_330_cov_2.058182	QTW60025.1	100	75	0	0	104	328	1	75	275	2.9e-40	144.8	QTW60025.1 ORF3a protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330
F1619_NODE_15150_length_297_cov_0.851240	QXI77871.1	95.5	88	4	0	297	34	2359	2446	4405	1.8e-47	172.9	QXI77871.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297
F1619_NODE_26609_length_268_cov_0.896714	QTT42590.1	100	49	0	0	148	2	1	49	419	2.4e-22	99.8	QTT42590.1 nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268
F1619_NODE_31797_length_260_cov_0.917073	QSS85929.1	98.8	86	1	0	259	2	2484	2569	7096	1.1e-47	172.9	QSS85929.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260
F1619_NODE_34803_length_255_cov_0.935000	QVU68173.1	100	83	0	0	3	251	3616	3698	7093	6.9e-43	159.1	QVU68173.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255
F1619_NODE_36658_length_251_cov_0.979592	YP_009201729.1	33.3	78	45	3	13	246	2455	2525	6598	3.5e-05	51.6	YP_009201729.1 ORF1ab polyprotein [BtNv-AlphaCoV/SC2013]	1503291	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Nyctalus velutinus alphacoronavirus SC-2013	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	BtNv-AlphaCoV/SC2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Nyctacovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	251
F1619_NODE_41905_length_239_cov_1.038043	QUH66125.1	100	79	0	0	239	3	981	1059	4402	2.1e-38	146	QUH66125.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	239
F1620_NODE_10557_length_271_cov_0.888889	QVG16688.1	100	89	0	0	270	4	3794	3882	7093	2.3e-47	172.2	QVG16688.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	271
F1620_NODE_18076_length_241_cov_1.026882	QJQ84758.1	100	80	0	0	240	1	6451	6530	7096	2.6e-44	162.9	QJQ84758.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	241
F1620_NODE_5180_length_321_cov_1.240602	QVJ61484.1	100	106	0	0	319	2	1682	1787	7093	2.6e-64	221.5	QVJ61484.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321
