contig_id	pident	phylum	class	order	family	genus	species	rdrp_scan_vir_group	suggested_vir_sp	orf_id	evalue	sseqid	stitle	tax_id	rdrp_scan_evalue
F1049_NODE_1_length_14446_cov_22.084775	89.1	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	Negevirus	Rinkaby virus	Martellivirales	Gracties_virus	F1049_NODE_1_length_14446_cov_22.084775_3	0	QGA70942.1	QGA70942.1 RNA-dependent RNA polymerase [Rinkaby virus]	2651953	1.8e-120
F1004_NODE_2378_length_1152_cov_2.756609	96.6	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Aedes aegypti virga-like virus	Martellivirales	Aedes_aegypti_virga_like_virus_subsp1	F1004_NODE_2378_length_1152_cov_2.756609_1	8.2e-107	BBN20999.1	BBN20999.1 hypothetical protein 2 [Aedes aegypti virga-like virus]	2605629	3.4e-65
F1359_NODE_1_length_14961_cov_86.217563	61.7	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Riboviria sp.	Martellivirales	F1359_NODE_1_length_14961_cov_86.217563	F1359_NODE_1_length_14961_cov_86.217563_1	0	QTW97797.1	QTW97797.1 RNA-dependent RNA polymerase [Riboviria sp.]	2585031	6.6e-121
F1359_NODE_2_length_14873_cov_82.619989	62.3	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Riboviria sp.	Martellivirales	F1359_NODE_2_length_14873_cov_82.619989	F1359_NODE_2_length_14873_cov_82.619989_1	0	QTW97797.1	QTW97797.1 RNA-dependent RNA polymerase [Riboviria sp.]	2585031	6.9e-122
F1038_NODE_1_length_11101_cov_60.073149	71.6	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Culex pipiens-associated Tunisia virus	Martellivirales	F1038_NODE_1_length_11101_cov_60.073149	F1038_NODE_1_length_11101_cov_60.073149_1	0	YP_009553255.1	YP_009553255.1 replicase [Culex pipiens-associated Tunisia virus]	2079148	1.7e-162
F1120_NODE_1_length_11041_cov_142.104315	97.4	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Hubei virga-like virus 2	Martellivirales	Hubei_virga_like_virus_2_subsp2	F1120_NODE_1_length_11041_cov_142.104315_2	0	QRW42815.1	QRW42815.1 MAG: polyprotein [Hubei virga-like virus 2]	1923335	3.6e-158
F1103_NODE_1_length_10799_cov_1076.610853	88.9	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	Negevirus	Culex pseudovishnui negev-like virus	Martellivirales	Parry_s_Creek_negev_like_virus_1	F1103_NODE_1_length_10799_cov_1076.610853_1	0	BBQ04461.1	BBQ04461.1 RNA-dependent RNA polymerase [Culex pseudovishnui negev-like virus]	2682815	2.6e-139
F1041_NODE_1_length_10955_cov_49.590092	98.8	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Culex pipiens-associated Tunisia virus	Martellivirales	Culex_pipiens_associated_Tunisia_virus	F1041_NODE_1_length_10955_cov_49.590092_1	0	YP_009553255.1	YP_009553255.1 replicase [Culex pipiens-associated Tunisia virus]	2079148	7.3e-166
F1530_NODE_2_length_9569_cov_814.715997	99.6	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Tanay virus	Martellivirales	Tanay_virus	F1530_NODE_2_length_9569_cov_814.715997_1	0	AUR34017.1	AUR34017.1 ORF1 [Tanay virus]	1489714	3.8e-105
F1061_NODE_159_length_4490_cov_42.580383	99.6	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Aedes aegypti virga-like virus	Martellivirales	Aedes_aegypti_virga_like_virus_subsp2	F1061_NODE_159_length_4490_cov_42.580383_2	6.2e-283	BBN20999.1	BBN20999.1 hypothetical protein 2 [Aedes aegypti virga-like virus]	2605629	6.5e-140
F1194_NODE_83_length_4344_cov_522.683143	97.8	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Aedes binegev-like virus 2	Martellivirales	Aedes_binegev_like_virus_2_subsp2	F1194_NODE_83_length_4344_cov_522.683143_2	7.8e-278	DAZ85685.1	DAZ85685.1 TPA_asm: RNA-dependent RNA polymerase [Aedes binegev-like virus 2]	2899248	8.8e-142
F1015_NODE_34_length_4438_cov_44.128451	99.8	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Aedes binegev-like virus 2	Martellivirales	Aedes_binegev_like_virus_2_subsp1	F1015_NODE_34_length_4438_cov_44.128451_2	1.4e-282	DAZ85685.1	DAZ85685.1 TPA_asm: RNA-dependent RNA polymerase [Aedes binegev-like virus 2]	2899248	3.4e-142
F1120_NODE_2_length_7852_cov_13.154547	96.7	Kitrinoviricota	Alsuviricetes	Tymovirales	NA	NA	Guadeloupe Culex tymo-like virus	Tymovirales	Guadeloupe_Culex_tymo_like_virus	F1120_NODE_2_length_7852_cov_13.154547_1	0	QRW41704.1	QRW41704.1 MAG: RNA-dependent RNA polymerase [Guadeloupe Culex tymo-like virus]	2607736	2.1e-143
F1097_NODE_7_length_2867_cov_32.811522	53.5	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya narnavirus 11	Wolframvirales	F1097_NODE_7_length_2867_cov_32.811522	F1097_NODE_7_length_2867_cov_32.811522_1	7.6e-291	UHM27569.1	UHM27569.1 MAG: RNA-dependent RNA polymerase [Sanya narnavirus 11]	2905312	1.3e-73
F1552_NODE_18_length_3190_cov_494.525040	32.4	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	Wolframvirales	F1552_NODE_18_length_3190_cov_494.525040	F1552_NODE_18_length_3190_cov_494.525040_1	8e-92	UTS51900.1	UTS51900.1 MAG: putative RNA-dependent RNA polymerase, partial [Narnaviridae sp.]	2583949	2.5e-72
F1156_NODE_65_length_2243_cov_7.962523	58	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sclerotinia sclerotiorum narnavirus 1	Wolframvirales	F1156_NODE_65_length_2243_cov_7.962523	F1156_NODE_65_length_2243_cov_7.962523_2	6.2e-216	QZE12031.1	QZE12031.1 MAG: hypothetical protein [Sclerotinia sclerotiorum narnavirus 1]	2822897	3.7e-06
F1322_NODE_126_length_1586_cov_15.097322	80.5	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 11	Wolframvirales	Plasmopara_viticola_lesion_associated_narnavirus_11	F1322_NODE_126_length_1586_cov_15.097322_1	7.1e-262	QIR30290.1	QIR30290.1 RNA-dependent RNA polymerase [Plasmopara viticola lesion associated narnavirus 11]	2719494	2e-51
F1611_NODE_54_length_2710_cov_128.028249	30.8	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya cydistomyia duplonotatay narnavirus 1	Wolframvirales	F1611_NODE_54_length_2710_cov_128.028249	F1611_NODE_54_length_2710_cov_128.028249_3	2.1e-85	UHR49680.1	UHR49680.1 MAG: RNA-dependent RNA polymerase [Sanya cydistomyia duplonotatay narnavirus 1]	2905328	1.3e-71
F1614_NODE_75_length_3253_cov_5695.314572	47.4	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Ochlerotatus-associated narna-like virus 1	Wolframvirales	Cumentaid_virus	F1614_NODE_75_length_3253_cov_5695.314572_2	2.6e-231	AGW51766.2	AGW51766.2 putative RNA-dependent RNA polymerase-like protein [Ochlerotatus-associated narna-like virus 1]	2598990	2.9e-85
F1367_NODE_745_length_1279_cov_3.495098	49.9	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Cryphonectria naterciae splipalmivirus 1	Wolframvirales	F1367_NODE_745_length_1279_cov_3.495098	F1367_NODE_745_length_1279_cov_3.495098_1	7.1e-103	BCX55510.1	BCX55510.1 putative RNA-dependent RNA polymerase [Cryphonectria naterciae splipalmivirus 1]	2841740	1.5e-12
F1172_NODE_107_length_2728_cov_139.118593	67.1	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Aedes angustivittatus narnavirus	Wolframvirales	Aedes_angustivittatus_narnavirus	F1172_NODE_107_length_2728_cov_139.118593_1	1.7e-263	QBA55490.1	QBA55490.1 MAG: RNA-dependent RNA polymerase, partial [Aedes angustivittatus narnavirus]	2507126	7.9e-95
F1049_NODE_492_length_1921_cov_1353.998392	94	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	Wolframvirales	Narnaviridae_sp_	F1049_NODE_492_length_1921_cov_1353.998392_1	0	QTW97839.1	QTW97839.1 RNA-dependent RNA polymerase [Narnaviridae sp.]	2583949	3.6e-44
F1460_NODE_9_length_1992_cov_43.488384	47.7	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 22	Wolframvirales	Daticed_virus	F1460_NODE_9_length_1992_cov_43.488384_2	7.3e-147	QIR30301.1	QIR30301.1 RNA-dependent RNA polymerase [Plasmopara viticola lesion associated narnavirus 22]	2719506	5.7e-51
F1509_NODE_206_length_2353_cov_3.070496	31.3	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Erysiphe necator associated narnavirus 22	Wolframvirales	Cumumbo_virus	F1509_NODE_206_length_2353_cov_3.070496_1	1e-70	QJT93754.1	QJT93754.1 RNA-dependent RNA polymerase [Erysiphe necator associated narnavirus 22]	2736379	1.2e-58
F1120_NODE_57_length_2277_cov_3.948245	96.5	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	Wolframvirales	Hubei_narna_like_virus_17_subsp2	F1120_NODE_57_length_2277_cov_3.948245_1	0	QTW97839.1	QTW97839.1 RNA-dependent RNA polymerase [Narnaviridae sp.]	2583949	3.9e-47
F1132_NODE_4_length_3029_cov_94.587088	84.1	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Serbia narna-like virus 2	Wolframvirales	Serbia_narna_like_virus_2	F1132_NODE_4_length_3029_cov_94.587088_2	0	QNS17453.1	QNS17453.1 RNA-dependent RNA polymerase [Serbia narna-like virus 2]	2771457	7.5e-70
F1132_NODE_7_length_2830_cov_221.665225	60.1	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Drosophila-associated narnavirus 2	Wolframvirales	Drosophila_associated_narnavirus_2	F1132_NODE_7_length_2830_cov_221.665225_3	7.6e-243	UFT26911.1	UFT26911.1 RNA-dependent RNA polymerase, partial [Drosophila-associated narnavirus 2]	2900511	2.2e-77
F1132_NODE_20_length_1630_cov_351.145397	36.9	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp. gcode 6	Wolframvirales	Decritial_virus	F1132_NODE_20_length_1630_cov_351.145397_1	2e-73	UTS51901.1	UTS51901.1 MAG: putative RNA-dependent RNA polymerase, partial [Narnaviridae sp. gcode 6]	2930534	1.9e-57
F1367_NODE_208_length_2030_cov_14.963544	87	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Fusarium poae narnavirus 2	Wolframvirales	Fusarium_poae_narnavirus_2	F1367_NODE_208_length_2030_cov_14.963544_1	0	YP_009272903.1	YP_009272903.1 RNA-dependent RNA polymerase [Fusarium poae narnavirus 2]	1849532	1.4e-26
F1012_NODE_86_length_3331_cov_4.913614	81	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 34	Wolframvirales	Plasmopara_viticola_lesion_associated_narnavirus_34	F1012_NODE_86_length_3331_cov_4.913614_1	0	QIR30313.1	QIR30313.1 RNA-dependent RNA polymerase [Plasmopara viticola lesion associated narnavirus 34]	2719519	1.2e-51
F1358_NODE_2309_length_1852_cov_1.580412	99.3	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Erysiphe necator associated narnavirus 6	Wolframvirales	Erysiphe_necator_associated_narnavirus_6	F1358_NODE_2309_length_1852_cov_1.580412_1concat2	7.5e-166	QJT93738.1	QJT93738.1 RNA-dependent RNA polymerase [Erysiphe necator associated narnavirus 6]	2736410	1.2e-29
F1097_NODE_5_length_3277_cov_171.617629	52.7	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Riboviria sp.	Wolframvirales	F1097_NODE_5_length_3277_cov_171.617629	F1097_NODE_5_length_3277_cov_171.617629_1	5.2e-296	QTW97841.1	QTW97841.1 RNA-dependent RNA polymerase, partial [Riboviria sp.]	2585031	2.6e-41
F1117_NODE_14_length_2164_cov_4.907539	99.3	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Zhejiang mosquito virus 3	Wolframvirales	Zhejiang_mosquito_virus_3_subsp1	F1117_NODE_14_length_2164_cov_4.907539_2	0	ASA47305.1	ASA47305.1 RdRp, partial [Zhejiang mosquito virus 3]	1923779	2e-82
F1018_NODE_224_length_2856_cov_452.672974	83.5	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 17	Wolframvirales	Hubei_narna_like_virus_17_subsp1	F1018_NODE_224_length_2856_cov_452.672974_1	0	YP_009337744.1	YP_009337744.1 RNA-dependent RNA polymerase [Hubei narna-like virus 17]	1922947	1.9e-47
F1560_NODE_544_length_2623_cov_546.129283	32.9	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 20	Wolframvirales	F1560_NODE_544_length_2623_cov_546.129283	F1560_NODE_544_length_2623_cov_546.129283_1	2e-88	APG77159.1	APG77159.1 RNA-dependent RNA polymerase, partial [Hubei narna-like virus 20]	1922951	3.2e-71
F1600_NODE_34_length_2751_cov_898.589763	36.9	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 16	Wolframvirales	Dencephous_virus	F1600_NODE_34_length_2751_cov_898.589763_1	6.8e-76	APG77120.1	APG77120.1 hypothetical protein, partial [Hubei narna-like virus 16]	1922946	8.5e-78
F1506_NODE_39_length_2155_cov_15.576190	84.7	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Wilkie narna-like virus 2	Wolframvirales	F1506_NODE_39_length_2155_cov_15.576190	F1506_NODE_39_length_2155_cov_15.576190_1	0	YP_009388579.1	YP_009388579.1 RdRp [Wilkie narna-like virus 2]	2010281	2.4e-44
F1292_NODE_41_length_3306_cov_5.850815	29.1	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Plasmopara viticola lesion-associated ormycovirus 6	Wolframvirales	F1292_NODE_41_length_3306_cov_5.850815	F1292_NODE_41_length_3306_cov_5.850815_1	6.1e-26	USW07198.1	USW07198.1 putative RNA-dependent RNA polymerase [Plasmopara viticola lesion-associated ormycovirus 6]	2949723	0.00021
F1621_NODE_32_length_2992_cov_117.672114	56.1	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Wilkie narna-like virus 1	Wolframvirales	F1621_NODE_32_length_2992_cov_117.672114	F1621_NODE_32_length_2992_cov_117.672114_1	2.1e-275	ASA47364.1	ASA47364.1 RdRp [Wilkie narna-like virus 1]	2010280	3.3e-59
F1559_NODE_16_length_3429_cov_142.246888	42.3	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Riboviria sp.	Wolframvirales	F1559_NODE_16_length_3429_cov_142.246888	F1559_NODE_16_length_3429_cov_142.246888_1	2.4e-219	QTW97841.1	QTW97841.1 RNA-dependent RNA polymerase, partial [Riboviria sp.]	2585031	8.5e-45
F1559_NODE_20_length_3169_cov_114.399807	41.7	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Beihai barnacle virus 10	Wolframvirales	Dabluel_virus	F1559_NODE_20_length_3169_cov_114.399807_1	3.1e-202	YP_009333179.1	YP_009333179.1 RNA-dependent RNA polymerase [Beihai barnacle virus 10]	1922354	1.2e-70
F1586_NODE_7_length_3277_cov_3101.561142	84.6	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Zhejiang mosquito virus 3	Wolframvirales	Zhejiang_mosquito_virus_3_subsp2	F1586_NODE_7_length_3277_cov_3101.561142_2	0	APG76979.1	APG76979.1 RNA-dependent RNA polymerase, partial [Zhejiang mosquito virus 3]	1923779	1.3e-90
F1143_NODE_11_length_7548_cov_9.055652	98	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	Ghabrivirales	Culex_vishnui_subgroup_totivirus	F1143_NODE_11_length_7548_cov_9.055652_2	0	BBQ05098.1	BBQ05098.1 RNA-dependent RNA polymerase [Culex vishnui subgroup totivirus]	2686045	3.9e-102
F1156_NODE_2_length_7200_cov_572.252624	76.3	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	Ghabrivirales	Aeriandims_virus_subsp1	F1156_NODE_2_length_7200_cov_572.252624_5	0	QLJ83492.1	QLJ83492.1 RNA-dependent RNA polymerase, partial [Fitzroy Crossing toti-like virus 2]	2755154	7.8e-94
F1497_NODE_15_length_4526_cov_148.730485	44.3	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Scheffersomyces segobiensis virus L	Ghabrivirales	F1497_NODE_15_length_4526_cov_148.730485	F1497_NODE_15_length_4526_cov_148.730485_2	6.5e-204	YP_009507829.1	YP_009507829.1 polyprotein [Scheffersomyces segobiensis virus L]	1300323	3.7e-127
F1497_NODE_40_length_3440_cov_12.563959	57.2	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Diplodia seriata chrysovirus 1	Ghabrivirales	Counshes_virus	F1497_NODE_40_length_3440_cov_12.563959_1	0	UOK20161.1	UOK20161.1 RNA dependent RNA polymerase [Diplodia seriata chrysovirus 1]	2932873	6.5e-101
F1570_NODE_24_length_6279_cov_8.322622	90.7	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex inatomii totivirus	Duplornaviricota	Culex_inatomii_totivirus	F1570_NODE_24_length_6279_cov_8.322622_2	0	BBQ05102.1	BBQ05102.1 RNA-dependent RNA polymerase [Culex inatomii totivirus]	2686046	7.7e-82
F1063_NODE_6_length_7436_cov_58.881317	93.5	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Palmetto toti-like virus	Ghabrivirales	Aedes_aegypti_toti_like_virus	F1063_NODE_6_length_7436_cov_58.881317_3	0	UGO48654.1	UGO48654.1 RNA dependent RNA polymerase, partial [Palmetto toti-like virus]	2894007	2.3e-101
F1186_NODE_10_length_7325_cov_98.964924	54.3	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Palmetto toti-like virus	Ghabrivirales	Adsentalan_virus	F1186_NODE_10_length_7325_cov_98.964924_2	0	UGO48654.1	UGO48654.1 RNA dependent RNA polymerase, partial [Palmetto toti-like virus]	2894007	2e-100
F1046_NODE_18_length_3649_cov_8.459655	54.6	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Drosophila-associated totivirus 5	Ghabrivirales	Andbire_virus	F1046_NODE_18_length_3649_cov_8.459655_3	3.1e-161	UFT26909.1	UFT26909.1 RNA-dependent RNA polymerase [Drosophila-associated totivirus 5]	2900518	1e-56
F1506_NODEs_12_58_205	98.6	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Aedes aegypti totivirus	Ghabrivirales	Aedes_aegypti_totivirus	F1506_NODE_58_length_1831_cov_21.750563_1	0	BBM96510.1	BBM96510.1 RNA-directed RNA polymerase [Aedes aegypti totivirus]	2603435	6.2e-69
F1434_NODE_1_length_7484_cov_199.621349	82.5	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	Ghabrivirales	Agrichlet_virus	F1434_NODE_1_length_7484_cov_199.621349_3	0	BBQ05098.1	BBQ05098.1 RNA-dependent RNA polymerase [Culex vishnui subgroup totivirus]	2686045	2.6e-103
F1628_NODE_34_length_1991_cov_6.607438	74.3	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus aspergilli	Duplornaviricota	Confucts_virus	F1628_NODE_34_length_1991_cov_6.607438_1	7.8e-255	BCH36618.1	BCH36618.1 RNA-dependent RNA polymerase [Alphachrysovirus aspergilli]	607716	4e-08
F1187_NODE_10_length_7026_cov_14.692727	55.1	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Palmetto toti-like virus	Ghabrivirales	F1187_NODE_10_length_7026_cov_14.692727	F1187_NODE_10_length_7026_cov_14.692727_2	0	UGO48654.1	UGO48654.1 RNA dependent RNA polymerase, partial [Palmetto toti-like virus]	2894007	3.1e-102
F1561_NODE_1_length_7724_cov_27.884340	76.7	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Parry's Creek toti-like virus 1	Ghabrivirales	Accrood_virus	F1561_NODE_1_length_7724_cov_27.884340_4	0	QLJ83490.1	QLJ83490.1 RNA-dependent RNA polymerase [Parry's Creek toti-like virus 1]	2755155	7.4e-77
F1132_NODE_2_length_3968_cov_71.654741	51.9	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Keenan toti-like virus	Duplornaviricota	Andiett_virus	F1132_NODE_2_length_3968_cov_71.654741_2	3.5e-80	QIJ70132.1	QIJ70132.1 RNA-dependent RNA polymerase [Keenan toti-like virus]	2716731	1.4e-13
F1583_NODE_1_length_7023_cov_400.040758	75.5	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	Ghabrivirales	Aeriandims_virus_subsp2	F1583_NODE_1_length_7023_cov_400.040758_2	0	QLJ83492.1	QLJ83492.1 RNA-dependent RNA polymerase, partial [Fitzroy Crossing toti-like virus 2]	2755154	1.6e-95
F1367_NODE_12_length_4976_cov_10.137167	35.8	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya ochthera mantis totivirus 1	Ghabrivirales	Ansforinte_virus	F1367_NODE_12_length_4976_cov_10.137167_3	1.7e-130	UHM27577.1	UHM27577.1 RNA-dependent RNA polymerase [Sanya ochthera mantis totivirus 1]	2905285	1.3e-127
F1367_NODE_33_length_3638_cov_33.225230	67	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus aspergilli	Ghabrivirales	F1367_NODE_33_length_3638_cov_33.225230	F1367_NODE_33_length_3638_cov_33.225230_1	0	BBC45614.1	BBC45614.1 putative RNA-dependent RNA polymerase [Alphachrysovirus aspergilli]	607716	1.7e-100
F1191_NODE_7_length_7342_cov_35.660217	54.1	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Palmetto toti-like virus	Ghabrivirales	Adjoured_virus	F1191_NODE_7_length_7342_cov_35.660217_2	0	UGO48654.1	UGO48654.1 RNA dependent RNA polymerase, partial [Palmetto toti-like virus]	2894007	4.3e-104
F1339_NODE_2128_length_1366_cov_2.616323	74.4	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus penicompacti	Durnavirales	Buquota_virus	F1339_NODE_2128_length_1366_cov_2.616323_1	1.2e-193	AYP71816.1	AYP71816.1 RNA-dependent RNA polymerase [Penicillium brevicompactum virus]	158371	2.3e-79
F1490_NODE_6_length_7134_cov_7.580732	52	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	dsRNA virus environmental sample	Ghabrivirales	F1490_NODE_6_length_7134_cov_7.580732	F1490_NODE_6_length_7134_cov_7.580732_3	1.2e-306	AJT39583.1	AJT39583.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	1.3e-98
