qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2
F1013_NODE_2700_length_909_cov_2.234192_1	XP_039446229.1	80.9	303	58	0	1	303	604	906	1450	2.2e-143	519.6	XP_039446229.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1141_NODE_677_length_1301_cov_3.052970_1	PZC81116.1	26.1	449	277	19	10	429	699	1121	1788	1.1e-23	122.5	PZC81116.1 hypothetical protein B5X24_HaOG213456 [Helicoverpa armigera]	29058	Eukaryota|Arthropoda|Insecta|Lepidoptera|Noctuidae|Helicoverpa|Helicoverpa armigera||Opisthokonta|Eumetazoa|Obtectomera||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Ditrysia|Endopterygota|||||Neoptera|Neolepidoptera||Metazoa||cellular organisms|||||Heteroneura||||||||||Pterygota||Heliothinae|||Glossata|Hexapoda|||||Noctuoidea|Amphiesmenoptera|||	Eukaryota	Arthropoda	Insecta	Lepidoptera	Noctuidae	Helicoverpa	Helicoverpa armigera	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_11_length_7548_cov_9.055652_2	BBQ05098.1	98	982	20	0	60	1041	1	982	982	0	1961.4	BBQ05098.1 RNA-dependent RNA polymerase [Culex vishnui subgroup totivirus]	2686045	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Culex vishnui subgroup totivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	Orthornavirae	Riboviria	NA	NA
F1143_NODE_41_length_4889_cov_2.043649_3	XP_039452477.1	87.4	1026	106	4	1	1014	465	1479	1479	0	1792.7	XP_039452477.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_122_length_3777_cov_2.022837_2	XP_039443721.1	57.3	1062	438	7	1	1058	637	1686	1686	0	1228	XP_039443721.1 uncharacterized protein LOC120423839 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_170_length_3415_cov_1.741071_1	XP_039429735.1	78.3	927	84	4	20	946	146	955	1016	0	1408.7	XP_039429735.1 uncharacterized protein LOC120413094 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1023_NODE_31_length_3891_cov_4.209072_2	HBS53814.1	48.5	968	468	9	6	961	225	1173	1176	4.6e-259	905.6	HBS53814.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1186_NODE_1136_length_2162_cov_1.942572_1	XP_021700271.1	92.8	306	22	0	1	306	67	372	752	9.4e-166	594	XP_021700271.1 peroxisomal acyl-coenzyme A oxidase 3 isoform X2 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1186_NODE_1702_length_1879_cov_1.657895_2	XP_038111897.1	70.7	379	111	0	17	395	246	624	686	8.1e-154	554.7	XP_038111897.1 uncharacterized protein LOC119767418 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1186_NODE_1866_length_1810_cov_2.777208_2	XP_039451854.1	60.5	618	220	6	3	603	233	843	1444	4.1e-213	752.3	XP_039451854.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1130_NODE_773_length_2251_cov_3.265027_4	XP_039438430.1	78.9	536	80	10	11	525	1	524	831	4.3e-86	330.1	XP_039438430.1 YTH domain-containing family protein 3-like isoform X2 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1514_NODE_1695_length_1228_cov_2.817562_1	XP_019563359.2	99.7	394	1	0	2	395	1	394	598	1.9e-195	693	XP_019563359.2 adenylate cyclase, terminal-differentiation specific-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1514_NODE_2687_length_1004_cov_2.194942_1	XP_019933189.2	87.9	215	26	0	65	279	1343	1557	4985	5.2e-77	299.3	XP_019933189.2 obscurin isoform X5 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1515_NODE_149_length_2769_cov_7.128224_1	AAZ15235.1	78.1	352	77	0	472	823	1	352	358	4.5e-162	583.2	AAZ15235.1 reverse transcriptase, partial [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1515_NODE_3561_length_976_cov_1.606949_1	XP_029709921.1	72.1	229	62	2	1	229	8	234	237	2.8e-67	266.9	XP_029709921.1 hepatoma-derived growth factor-related protein 2-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1490_NODE_6_length_7134_cov_7.580732_3	AJT39583.1	52	1050	487	10	6	1046	3	1044	1044	1.2e-306	1070.5	AJT39583.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses||||||dsRNA virus environmental sample||Riboviria|dsRNA viruses|||||||||||||||||||||||||||||environmental samples||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA
F1490_NODE_190_length_3011_cov_5.005751_2	XP_001655916.2	95.9	663	26	1	4	665	1	663	663	0	1164.8	XP_001655916.2 putative RNA-binding protein 15 isoform X2 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1490_NODE_418_length_2413_cov_3.901612_2	EAT40241.1	80.7	781	125	11	1	776	104	863	929	7.7e-284	987.6	EAT40241.1 AAEL008015-PA [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1191_NODE_3178_length_1002_cov_1.391763_1	XP_021706210.1	97.2	316	9	0	1	316	143	458	1295	4.3e-148	535.4	XP_021706210.1 cell division cycle and apoptosis regulator protein 1 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1031_NODE_523_length_1733_cov_3.171633_1	XP_039452654.1	91.5	527	34	7	5	524	1	523	783	9.8e-264	920.2	XP_039452654.1 E3 ubiquitin-protein ligase TRIM37-like isoform X2 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1366_NODE_2879_length_1430_cov_1.232000_1	KFB51666.1	91.8	478	33	3	1	476	93	566	602	2.9e-238	835.5	KFB51666.1 AGAP007439-PA-like protein [Anopheles sinensis]	74873	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles sinensis||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||Laticorn|Myzorhynchus|||hyrcanus group||||Pterygota||Anophelinae|Anopheles||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles sinensis	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1366_NODE_2903_length_1426_cov_1.992706_1	XP_035906331.1	80.7	497	53	5	7	471	422	907	907	2.4e-112	417.2	XP_035906331.1 putative mediator of RNA polymerase II transcription subunit 26 isoform X1 [Anopheles stephensi]	30069	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles stephensi||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Neocellia|Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Anophelinae|Cellia||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1366_NODE_5754_length_983_cov_4.917026_1	KFB35040.1	72.4	225	54	2	98	316	422	644	2064	6.7e-61	245.7	KFB35040.1 AGAP002502-PA-like protein [Anopheles sinensis]	74873	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles sinensis||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||Laticorn|Myzorhynchus|||hyrcanus group||||Pterygota||Anophelinae|Anopheles||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles sinensis	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1345_NODE_385_length_1233_cov_7.681664_1	KAF2765623.1	73.2	410	108	1	1	410	119	526	597	9.3e-169	604.4	KAF2765623.1 hypothetical protein EJ03DRAFT_279624 [Teratosphaeria nubilosa]	161662	Eukaryota|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Teratosphaeria|Teratosphaeria nubilosa||Opisthokonta|saccharomyceta|||||||||||leotiomyceta|dothideomyceta|||||||||||||||Fungi||cellular organisms|||||||||||||||Dothideomycetidae||||Dikarya||Pezizomycotina|||||||||	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria nubilosa	Fungi	Opisthokonta	saccharomyceta	leotiomyceta
F1345_NODE_434_length_1176_cov_4.862623_2	XP_040882447.1	99.7	370	1	0	1	370	22	391	391	1.5e-221	779.6	XP_040882447.1 uncharacterized protein M437DRAFT_73348 [Aureobasidium melanogenum CBS 110374]	46634	Eukaryota|Ascomycota|Dothideomycetes|Dothideales|Saccotheciaceae|Aureobasidium|Aureobasidium melanogenum||Opisthokonta|saccharomyceta|||||||||||leotiomyceta|dothideomyceta|||||||||||||||Fungi||cellular organisms|||||||||||||||Dothideomycetidae||||Dikarya||Pezizomycotina|||||||||	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	Fungi	Opisthokonta	saccharomyceta	leotiomyceta
F1567_NODE_26_length_4313_cov_11.980038_5	XP_038110197.1	78.5	1390	199	30	52	1377	1059	2412	2764	0	1650.6	XP_038110197.1 uncharacterized protein LOC6033770 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
