contig_id	contig_id_set_AuB
F1361_NODE_262_length_2334_cov_50.104871	F1361_NODE_262_length_2334_cov_50.104871
F1366_NODE_1917_length_1697_cov_3.967722	F1366_NODE_1917_length_1697_cov_3.967722
F1367_NODE_12_length_4976_cov_10.137167	F1367_NODE_12_length_4976_cov_10.137167
F1367_NODE_2_length_7664_cov_2925.898935	F1367_NODE_2_length_7664_cov_2925.898935
F1367_NODE_208_length_2030_cov_14.963544	F1367_NODE_208_length_2030_cov_14.963544
F1367_NODE_3_length_7143_cov_133.601298	F1367_NODE_3_length_7143_cov_133.601298
F1367_NODE_4_length_7142_cov_77.610837	F1367_NODE_4_length_7142_cov_77.610837
F1370_NODE_970_length_1742_cov_6.752223	F1370_NODE_970_length_1742_cov_6.752223
F1383_NODE_255_length_2513_cov_3.562246	F1383_NODE_255_length_2513_cov_3.562246
F1392_NODE_1_length_10754_cov_548.269558	F1392_NODE_1_length_10754_cov_548.269558
F1395_NODE_195_length_2846_cov_11.463991	F1395_NODE_195_length_2846_cov_11.463991
F1407_NODE_2_length_10831_cov_220.119803	F1407_NODE_2_length_10831_cov_220.119803
F1414_NODE_269_length_1737_cov_116.394768	F1414_NODE_269_length_1737_cov_116.394768
F1422_NODE_7_length_6690_cov_40.209495	F1422_NODE_7_length_6690_cov_40.209495
F1426_NODE_28_length_2861_cov_111.933001	F1426_NODE_28_length_2861_cov_111.933001
F1427_NODE_12_length_3581_cov_418.068633	F1427_NODE_12_length_3581_cov_418.068633
F1429_NODE_1_length_14505_cov_534.938062	F1429_NODE_1_length_14505_cov_534.938062
F1429_NODE_41_length_3715_cov_163.154918	F1429_NODE_41_length_3715_cov_163.154918
F1429_NODE_5_length_7904_cov_47.608613	F1429_NODE_5_length_7904_cov_47.608613
F1429_NODE_9_length_6621_cov_210.512641	F1429_NODE_9_length_6621_cov_210.512641
F1432_NODE_5_length_10841_cov_303.479974	F1432_NODE_5_length_10841_cov_303.479974
F1434_NODE_1_length_7484_cov_199.621349	F1434_NODE_1_length_7484_cov_199.621349
F1449_NODE_1_length_10804_cov_62.814960	F1449_NODE_1_length_10804_cov_62.814960
F1453_NODE_1_length_9739_cov_1041.856671	F1453_NODE_1_length_9739_cov_1041.856671
F1457_NODE_1_length_9780_cov_2915.760617	F1457_NODE_1_length_9780_cov_2915.760617
F1460_NODE_9_length_1992_cov_43.488384	F1460_NODE_9_length_1992_cov_43.488384
F1472_NODE_1_length_7201_cov_146.442065	F1472_NODE_1_length_7201_cov_146.442065
F1484_NODE_54_length_2792_cov_4.601388	F1484_NODE_54_length_2792_cov_4.601388
F1486_NODE_8_length_6793_cov_9.764619	F1486_NODE_8_length_6793_cov_9.764619
F1489_NODE_1734_length_1508_cov_1316.233999	F1489_NODE_1734_length_1508_cov_1316.233999
F1497_NODE_136_length_2378_cov_1144.077056	F1497_NODE_136_length_2378_cov_1144.077056
F1497_NODE_21_length_4260_cov_380.850178	F1497_NODE_21_length_4260_cov_380.850178
F1497_NODE_40_length_3440_cov_12.563959	F1497_NODE_40_length_3440_cov_12.563959
F1502_NODE_85_length_2916_cov_12.682279	F1502_NODE_85_length_2916_cov_12.682279
F1506_NODE_39_length_2155_cov_15.576190	F1506_NODE_39_length_2155_cov_15.576190
F1509_NODE_206_length_2353_cov_3.070496	F1509_NODE_206_length_2353_cov_3.070496
F1517_NODE_31_length_3050_cov_4493.100501	F1517_NODE_31_length_3050_cov_4493.100501
F1527_NODE_217_length_3085_cov_411.840594	F1527_NODE_217_length_3085_cov_411.840594
F1539_NODE_1_length_9238_cov_54.876511	F1539_NODE_1_length_9238_cov_54.876511
F1539_NODE_12_length_6813_cov_660.129032	F1539_NODE_12_length_6813_cov_660.129032
F1543_NODE_27_length_5990_cov_6.343724	F1543_NODE_27_length_5990_cov_6.343724
F1552_NODE_18_length_3190_cov_494.525040	F1552_NODE_18_length_3190_cov_494.525040
F1559_NODE_15_length_3431_cov_895.395438	F1559_NODE_15_length_3431_cov_895.395438
F1559_NODE_16_length_3429_cov_142.246888	F1559_NODE_16_length_3429_cov_142.246888
F1559_NODE_20_length_3169_cov_114.399807	F1559_NODE_20_length_3169_cov_114.399807
F1560_NODE_10_length_7199_cov_155.988802	F1560_NODE_10_length_7199_cov_155.988802
F1560_NODE_544_length_2623_cov_546.129283	F1560_NODE_544_length_2623_cov_546.129283
F1561_NODE_1_length_7724_cov_27.884340	F1561_NODE_1_length_7724_cov_27.884340
F1568_NODE_1_length_14237_cov_127.790439	F1568_NODE_1_length_14237_cov_127.790439
F1583_NODE_1_length_7023_cov_400.040758	F1583_NODE_1_length_7023_cov_400.040758
F1584_NODE_52_length_2510_cov_11.737271	F1584_NODE_52_length_2510_cov_11.737271
F1585_NODE_2_length_2559_cov_71.784345	F1585_NODE_2_length_2559_cov_71.784345
F1586_NODE_7_length_3277_cov_3101.561142	F1586_NODE_7_length_3277_cov_3101.561142
F1588_NODE_1_length_11833_cov_1389.869587	F1588_NODE_1_length_11833_cov_1389.869587
F1588_NODE_16_length_2162_cov_36.273849	F1588_NODE_16_length_2162_cov_36.273849
F1600_NODE_2_length_5756_cov_13.689177	F1600_NODE_2_length_5756_cov_13.689177
F1600_NODE_34_length_2751_cov_898.589763	F1600_NODE_34_length_2751_cov_898.589763
F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695
F1611_NODE_1_length_8792_cov_16.197093	F1611_NODE_1_length_8792_cov_16.197093
F1611_NODE_152_length_2053_cov_3.285786	F1611_NODE_152_length_2053_cov_3.285786
F1611_NODE_2_length_7571_cov_651.122672	F1611_NODE_2_length_7571_cov_651.122672
F1611_NODE_5_length_4584_cov_2369.060057	F1611_NODE_5_length_4584_cov_2369.060057
F1611_NODE_77_length_2429_cov_31.769166	F1611_NODE_77_length_2429_cov_31.769166
F1614_NODE_75_length_3253_cov_5695.314572	F1614_NODE_75_length_3253_cov_5695.314572
F1616_NODE_2_length_10646_cov_372.676140	F1616_NODE_2_length_10646_cov_372.676140
F1621_NODE_32_length_2992_cov_117.672114	F1621_NODE_32_length_2992_cov_117.672114
F1628_NODE_1_length_7594_cov_95.775700	F1628_NODE_1_length_7594_cov_95.775700
F1628_NODE_2_length_7193_cov_174.125245	F1628_NODE_2_length_7193_cov_174.125245
F1628_NODE_34_length_1991_cov_6.607438	F1628_NODE_34_length_1991_cov_6.607438
F1632_NODE_15_length_6869_cov_140.488553	F1632_NODE_15_length_6869_cov_140.488553
F1052_NODE_13_length_3984_cov_401.735811	F1052_NODE_13_663_chimera
F1416_NODE_2_length_4213_cov_738.883838	F1416_NODEs_39_8_2_finalCxFVlike
F1506_NODE_58_length_1831_cov_21.750563	F1506_NODEs_12_58_205
F1576_NODE_2_length_14073_cov_9898.004851	F1576_NODEs_2_25945_25414_25622_8_26117_15_chimera
