qseqid	tax_id	evalue	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2	orf_id	contig_id	possibly_cellular_contig	target	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	contig_set	orf_start	orf_end	orf_sense	orf_len	sseqid_be	pident_be	length_be	mismatch_be	gapopen_be	qstart_be	qend_be	sstart_be	send_be	slen_be	evalue_be	bitscore_be	stitle_be	tax_id_be	Collapsed_lineage_be	superkingdom_be	phylum_be	class_be	order_be	family_be	genus_be	species_be	kingdom_be	realm_be	clade1_be	clade2_be	rdrp_scan_vir_group	RdRP_scan_match_with_DMND	orf_id_original	qstart_be_nt	qend_be_nt
F1098_NODE_3_length_12183_cov_705.053183_4	2892543	0	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae||Formosus virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Rhabdoviridae|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	Orthornavirae	Riboviria	NA	NA	F1098_NODE_3_length_12183_cov_705.053183_4	F1098_NODE_3_length_12183_cov_705.053183	0	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	2.3e-181	597.2	3.4	3.7e-181	596.5	3.4	12	1	0	0	1	1	1	1	G	5643	12062	FORWARD	6419	DAZ85663.1	72.7	2103	574	0	35	2137	13	2115	2116	0	3234.1	DAZ85663.1 TPA_asm: large polymerase protein [Formosus virus]	2892543	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae||Formosus virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Rhabdoviridae|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Formosus virus	Orthornavirae	Riboviria	NA	NA	Monjiviricetes	BestHit	F1098_NODE_3_length_12183_cov_705.053183_4	NA	NA
F1100_NODE_461_length_1657_cov_6.475655_1	2560063	2.3e-221	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1100_NODE_461_length_1657_cov_6.475655_1	F1100_NODE_461_length_1657_cov_6.475655	0	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	4.5e-85	279	23.1	4.9e-85	278.9	23.1	1	1	0	0	1	1	1	1	N	1	1344	FORWARD	1343	QGY72572.1	83.2	446	75	0	1	446	174	619	619	2.3e-221	779.2	QGY72572.1 RNA dependent RNA polymerase [Plasmopara viticola lesion associated ourmia-like virus 42]	2686512	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Betascleroulivirus|Betascleroulivirus thetaplasmoparae||Riboviria||||||||||||||||||||||||||||Orthornavirae||Plasmopara viticola lesion associated ourmia-like virus 42||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Betascleroulivirus	Betascleroulivirus thetaplasmoparae	Orthornavirae	Riboviria	NA	NA	Ourlivirales	BestHit	F1100_NODE_461_length_1657_cov_6.475655_1	NA	NA
F1117_NODE_14_length_2164_cov_4.907539_2	1923779	0	Viruses||||||Zhejiang mosquito virus 3||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Zhejiang mosquito virus 3	NA	Riboviria	NA	NA	F1117_NODE_14_length_2164_cov_4.907539_2	F1117_NODE_14_length_2164_cov_4.907539	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2e-82	270.2	0	2.6e-82	269.8	0	1	1	0	0	1	1	1	1	G	2164	2	REVERSE	2162	ASA47305.1	99.3	721	5	0	1	721	289	1009	1056	0	1399	ASA47305.1 RdRp, partial [Zhejiang mosquito virus 3]	1923779	Viruses||||||Zhejiang mosquito virus 3||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Zhejiang mosquito virus 3	NA	Riboviria	NA	NA	Wolframvirales	no match	F1117_NODE_14_length_2164_cov_4.907539_2	NA	NA
F1449_NODE_1_length_10804_cov_62.814960_2	643132	0	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Quang Binh virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	Orthornavirae	Riboviria	NA	NA	F1449_NODE_1_length_10804_cov_62.814960_2	F1449_NODE_1_length_10804_cov_62.814960	0	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	6e-102	334.6	7.3	1e-101	333.9	7.3	12	1	0	0	1	1	1	1	G	56	10141	FORWARD	10085	AYP74867.1	99.4	3359	20	0	4	3362	1	3359	3359	0	6708.2	AYP74867.1 polyprotein [Quang Binh virus]	643132	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Quang Binh virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Quang Binh virus	Orthornavirae	Riboviria	NA	NA	Amarillovirales	BestHit	F1449_NODE_1_length_10804_cov_62.814960_2	NA	NA
F1216_NODE_3_length_2896_cov_592.429426_2	10239	1.4e-221	Viruses||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F1216_NODE_3_length_2896_cov_592.429426_2	F1216_NODE_3_length_2896_cov_592.429426	0	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	6.2e-107	351.4	8.5	7.3e-107	351.2	8.5	1	1	0	0	1	1	1	1	G	1391	3	REVERSE	1388	QRW41864.1	84.1	429	68	0	33	461	1	429	441	1.4e-221	780	QRW41864.1 MAG: RNA-dependent RNA polymerase [Kellev virus]	2800921	Viruses||||||Kellev virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Kellev virus	NA	Riboviria	NA	NA	Sobelivirales	no match	F1216_NODE_3_length_2896_cov_592.429426_2	NA	NA
F1017_NODE_110_length_2473_cov_34.363110_1	2741794	6.5e-284	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|Erysiphe necator associated ourmia-like virus 14||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 14	Orthornavirae	Riboviria	NA	NA	F1017_NODE_110_length_2473_cov_34.363110_1	F1017_NODE_110_length_2473_cov_34.363110	0	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	3.6e-135	444.7	18.5	4.5e-135	444.4	18.5	1	1	0	0	1	1	1	1	G	2473	440	REVERSE	2033	QKI79844.1	73.5	668	173	3	13	678	1	666	673	6.5e-284	987.6	QKI79844.1 RNA-dependent RNA polymerase [Erysiphe necator associated ourmia-like virus 14]	2741794	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|Erysiphe necator associated ourmia-like virus 14||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 14	Orthornavirae	Riboviria	NA	NA	Ourlivirales	BestHit	F1017_NODE_110_length_2473_cov_34.363110_1	NA	NA
F1018_NODE_1_length_14998_cov_54.605501_1	2585030	0	Viruses||||||||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1018_NODE_1_length_14998_cov_54.605501_1	F1018_NODE_1_length_14998_cov_54.605501	0	ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	4.6e-120	394.8	4.3	8.9e-81	264.8	0	38	4	0	0	4	4	4	2	N	14715	6349	REVERSE	8366	QTW97797.1	61.9	2792	967	15	6	2789	1	2702	2702	0	3442.5	QTW97797.1 RNA-dependent RNA polymerase [Riboviria sp.]	2585031	Viruses||||||Riboviria sp.||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Riboviria sp.	NA	Riboviria	NA	NA	Martellivirales	no match	F1018_NODE_1_length_14998_cov_54.605501_1	NA	NA
F1018_NODE_224_length_2856_cov_452.672974_1	1922947	0	Viruses||||||Hubei narna-like virus 17||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei narna-like virus 17	NA	Riboviria	NA	NA	F1018_NODE_224_length_2856_cov_452.672974_1	F1018_NODE_224_length_2856_cov_452.672974	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	1.9e-47	154.6	0	2.3e-47	154.4	0	11	1	0	0	1	1	1	1	G	2846	9	REVERSE	2837	YP_009337744.1	83.5	944	146	4	9	945	1	941	942	0	1514.2	YP_009337744.1 RNA-dependent RNA polymerase [Hubei narna-like virus 17]	1922947	Viruses||||||Hubei narna-like virus 17||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei narna-like virus 17	NA	Riboviria	NA	NA	Wolframvirales	no match	F1018_NODE_224_length_2856_cov_452.672974_1	NA	NA
F1517_NODE_31_length_3050_cov_4493.100501_2	2559587	1.6e-265	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1517_NODE_31_length_3050_cov_4493.100501_2	F1517_NODE_31_length_3050_cov_4493.100501	0	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	4.2e-108	355.3	5.3	5e-108	355.1	5.3	1	1	0	0	1	1	1	1	G	1542	2960	FORWARD	1418	QOI91441.1	99.8	441	1	0	33	473	1	441	441	1.6e-265	926	QOI91441.1 RNA-dependent RNA polymerase [Guangzhou sobemo-like virus]	2778220	Viruses|Pisuviricota|Pisoniviricetes|Sobelivirales|Solemoviridae||Guangzhou sobemo-like virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Solemoviridae||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	Orthornavirae	Riboviria	NA	NA	Sobelivirales	BestHit	F1517_NODE_31_length_3050_cov_4493.100501_2	NA	NA
F1552_NODE_18_length_3190_cov_494.525040_1	2583949	8e-92	Viruses|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae||Narnaviridae sp.||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Narnaviridae||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	Orthornavirae	Riboviria	NA	NA	F1552_NODE_18_length_3190_cov_494.525040_1	F1552_NODE_18_length_3190_cov_494.525040	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2.5e-72	236.8	7.8	3.9e-72	236.2	7.8	13	1	0	0	1	1	1	1	G	28	3159	FORWARD	3131	UTS51900.1	32.4	888	457	27	90	947	12	786	869	8e-92	350.1	UTS51900.1 MAG: putative RNA-dependent RNA polymerase, partial [Narnaviridae sp.]	2583949	Viruses|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae||Narnaviridae sp.||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Narnaviridae||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	Orthornavirae	Riboviria	NA	NA	Wolframvirales	BestHit	F1552_NODE_18_length_3190_cov_494.525040_1	NA	NA
F1147_NODE_1_length_11305_cov_1652.532000_1	2079148	0	Viruses||||||Culex pipiens-associated Tunisia virus||Riboviria|unclassified ssRNA positive-strand viruses|||||||||||||||||||||||||||||unclassified Riboviria|unclassified ssRNA viruses|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Culex pipiens-associated Tunisia virus	NA	Riboviria	unclassified ssRNA positive-strand viruses	NA	F1147_NODE_1_length_11305_cov_1652.532000_1	F1147_NODE_1_length_11305_cov_1652.532000	0	ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	1.2e-164	542.3	14.9	1.2e-164	542.3	14.9	22	2	0	0	2	2	2	1	N	3	7895	FORWARD	7892	YP_009553255.1	69.7	2607	700	12	27	2631	1	2520	2520	0	3606.6	YP_009553255.1 replicase [Culex pipiens-associated Tunisia virus]	2079148	Viruses||||||Culex pipiens-associated Tunisia virus||Riboviria|unclassified ssRNA positive-strand viruses|||||||||||||||||||||||||||||unclassified Riboviria|unclassified ssRNA viruses|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Culex pipiens-associated Tunisia virus	NA	Riboviria	unclassified ssRNA positive-strand viruses	NA	Martellivirales	no match	F1147_NODE_1_length_11305_cov_1652.532000_1	NA	NA
F1183_NODE_376_length_1516_cov_4.340862_1	2559587	6.3e-175	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1183_NODE_376_length_1516_cov_4.340862_1	F1183_NODE_376_length_1516_cov_4.340862	0	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	2.4e-94	309.5	0.1	2.9e-94	309.2	0.1	1	1	0	0	1	1	1	1	N	2	1516	FORWARD	1514	AJT39583.1	60.7	504	198	0	2	505	380	883	1044	6.3e-175	625.2	AJT39583.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses||||||dsRNA virus environmental sample||Riboviria|dsRNA viruses|||||||||||||||||||||||||||||environmental samples||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA	Ghabrivirales	no match	F1183_NODE_376_length_1516_cov_4.340862_1	NA	NA
