site	season	village	commune	district	city	elevation_m	trapping.method	trip	month	genus	subgenus	species	genus_species	sex	blood_meal	number	old_eppendorf	old_box	new_eppendorf	new_box	Location	datetime_setup	datetime_collect	lat	long	id	Sample	latlong_provided	seq_priority
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 08:30:00	2019-10-16 08:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1006	F1006	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 08:30:00	2019-10-16 08:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1007	F1007	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 08:30:00	2019-10-16 08:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1008	F1008	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:02:00	2019-10-16 09:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1009	F1009	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:02:00	2019-10-16 09:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1010	F1010	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:02:00	2019-10-16 09:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1011	F1011	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:02:00	2019-10-16 09:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1012	F1012	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 04:30:00	2019-10-15 04:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1013	F1013	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 04:30:00	2019-10-15 04:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1014	F1014	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1015	F1015	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1016	F1016	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1017	F1017	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-08 07:47:00	2019-10-09 07:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1069	F1069	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-08 07:47:00	2019-10-09 07:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1070	F1070	masked, available in supplementary info or upon request	high
