Sample	Batch	LibPool	site	season	village	commune	district	city	elevation_m	trapping.method	trip	month	genus	subgenus	species	genus_species	sex	blood_meal	number	old_eppendorf	old_box	new_eppendorf	new_box	Location	datetime_setup	datetime_collect	lat	long	id	latlong_provided	seq_priority	tr	trait
F1201	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	NA	thailandensis	Aedes thailandensis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-08 10:25:00	2019-10-09 10:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1201	masked, available in supplementary info or upon request	low	Pursat	Aedes thailandensis_Pursat
F1200	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	NA	thailandensis	Aedes thailandensis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-08 10:25:00	2019-10-09 10:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1200	masked, available in supplementary info or upon request	low	Pursat	Aedes thailandensis_Pursat
F1205	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	NA	thailandensis	Aedes thailandensis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-08 10:25:00	2019-10-09 10:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1205	masked, available in supplementary info or upon request	low	Pursat	Aedes thailandensis_Pursat
F1254	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	cinctellus	Culex cinctellus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1254	masked, available in supplementary info or upon request	low	Pursat	Culex cinctellus_Pursat
F1256	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	cinctellus	Culex cinctellus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1256	masked, available in supplementary info or upon request	low	Pursat	Culex cinctellus_Pursat
F1252	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	cinctellus	Culex cinctellus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1252	masked, available in supplementary info or upon request	low	Pursat	Culex cinctellus_Pursat
F1257	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	cinctellus	Culex cinctellus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1257	masked, available in supplementary info or upon request	low	Pursat	Culex cinctellus_Pursat
F1278	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	infantulus	Culex infantulus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1278	masked, available in supplementary info or upon request	low	Pursat	Culex infantulus_Pursat
F1277	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	infantulus	Culex infantulus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1277	masked, available in supplementary info or upon request	low	Pursat	Culex infantulus_Pursat
F1276	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	infantulus	Culex infantulus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1276	masked, available in supplementary info or upon request	low	Pursat	Culex infantulus_Pursat
F1282	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Lophoceraomyia	infantulus	Culex infantulus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1282	masked, available in supplementary info or upon request	low	Pursat	Culex infantulus_Pursat
F1298	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1298	masked, available in supplementary info or upon request	low	Pursat	Culex nigropunctatus_Pursat
F1292	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1292	masked, available in supplementary info or upon request	low	Pursat	Culex nigropunctatus_Pursat
F1299	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1299	masked, available in supplementary info or upon request	low	Pursat	Culex nigropunctatus_Pursat
F1296	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Pursat	2019-10-07 14:23:00	2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1296	masked, available in supplementary info or upon request	low	Pursat	Culex nigropunctatus_Pursat
F1565	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:20:00	2019-10-23 15:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1565	masked, available in supplementary info or upon request	low	Preah Vihear	Culex nigropunctatus_Preah Vihear
F1566	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 16:28:00	2019-10-23 16:57:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1566	masked, available in supplementary info or upon request	low	Preah Vihear	Culex nigropunctatus_Preah Vihear
F1567	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culiciomyia	nigropunctatus	Culex nigropunctatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-23 16:02:00	2019-10-24 15:59:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1567	masked, available in supplementary info or upon request	low	Preah Vihear	Culex nigropunctatus_Preah Vihear
F1130	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	tritaeniorhynchus	Culex tritaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1130	masked, available in supplementary info or upon request	low	Sihanuokville	Culex tritaeniorhynchus_Sihanuokville
F1129	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	tritaeniorhynchus	Culex tritaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1129	masked, available in supplementary info or upon request	low	Sihanuokville	Culex tritaeniorhynchus_Sihanuokville
F1127	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	tritaeniorhynchus	Culex tritaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1127	masked, available in supplementary info or upon request	low	Sihanuokville	Culex tritaeniorhynchus_Sihanuokville
F1156	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	tritaeniorhynchus	Culex tritaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-08 08:15:00	2019-10-09 08:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1156	masked, available in supplementary info or upon request	low	Sihanuokville	Culex tritaeniorhynchus_Sihanuokville
F1451	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	tritaeniorhynchus	Culex tritaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 02:27:00	2019-10-16 14:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1451	masked, available in supplementary info or upon request	low	Kompong Thom	Culex tritaeniorhynchus_Kompong Thom
F1469	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	annulifera	Mansonia annulifera	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-16 16:55:00	2019-10-17 16:42:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1469	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia annulifera_Kompong Thom
F1470	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	annulifera	Mansonia annulifera	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-16 16:45:00	2019-10-17 16:39:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1470	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia annulifera_Kompong Thom
F1471	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	annulifera	Mansonia annulifera	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 15:38:00	2019-10-15 15:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1471	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia annulifera_Kompong Thom
F1497	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	uniformis	Mansonia uniformis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 14:27:00	2019-10-15 14:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1497	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia uniformis_Kompong Thom
F1489	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	uniformis	Mansonia uniformis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:55:00	2019-10-16 16:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1489	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia uniformis_Kompong Thom
F1488	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	uniformis	Mansonia uniformis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:45:00	2019-10-16 16:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1488	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia uniformis_Kompong Thom
F1490	0	0	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Mansonia	Mansonioides	uniformis	Mansonia uniformis	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:45:00	2019-10-16 16:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1490	masked, available in supplementary info or upon request	low	Kompong Thom	Mansonia uniformis_Kompong Thom
