Sample	'Batch	'LibPool	'site	'season	'village	'commune	'district	'city	'elevation_m	'trapping.method	'trip	'month	'genus	'subgenus	'species	'genus_species	'sex	'blood_meal	'number	'old_eppendorf	'old_box	'new_eppendorf	'new_box	'Location	'datetime_setup	'datetime_collect	'lat	'long	'id	'latlong_provided	'seq_priority	'tr	'trait
F1504	'1.2	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-22 15:55:00	'2019-10-23 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1504	masked, available in supplementary info or upon request	'high	'NA	'NA
F1511	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 14:59:00	'2019-10-22 14:58:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1511	masked, available in supplementary info or upon request	'high	'NA	'NA
F1515	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:25:00	'2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1515	masked, available in supplementary info or upon request	'high	'NA	'NA
F1568	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:45:00	'2019-10-22 15:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1568	masked, available in supplementary info or upon request	'high	'NA	'NA
F1570	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:45:00	'2019-10-22 15:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1570	masked, available in supplementary info or upon request	'high	'NA	'NA
F1058	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 10:20:00	'2019-10-10 10:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1058	masked, available in supplementary info or upon request	'high	'NA	'NA
F1061	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-10 07:50:00	'2019-10-11 07:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1061	masked, available in supplementary info or upon request	'high	'NA	'NA
F1070	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 07:47:00	'2019-10-09 07:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1070	masked, available in supplementary info or upon request	'high	'NA	'NA
F1075	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 08:55:00	'2019-10-09 08:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1075	masked, available in supplementary info or upon request	'high	'NA	'NA
F1112	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 09:45:00	'2019-10-09 09:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1112	masked, available in supplementary info or upon request	'high	'NA	'NA
F1124	'1.3	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 08:00:00	'2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1124	masked, available in supplementary info or upon request	'high	'NA	'NA
F1346	'1.2	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 16:10:00	'2019-10-15 16:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1346	masked, available in supplementary info or upon request	'high	'NA	'NA
F1423	'1.2	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:06:00	'2019-10-15 15:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1423	masked, available in supplementary info or upon request	'high	'NA	'NA
F1507	'1.3	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-23 07:00:00	'2019-10-24 07:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1507	masked, available in supplementary info or upon request	'high	'NA	'NA
F1519	'1.3	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:30:00	'2019-10-22 16:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1519	masked, available in supplementary info or upon request	'high	'NA	'NA
F1575	'1.3	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:00:00	'2019-10-22 15:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1575	masked, available in supplementary info or upon request	'high	'NA	'NA
F1063	'1.3	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 06:00:00	'2019-10-10 05:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1063	masked, available in supplementary info or upon request	'high	'NA	'NA
F1079	'1.3	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 08:00:00	'2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1079	masked, available in supplementary info or upon request	'high	'NA	'NA
F1430	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-15 15:06:00	'2019-10-16 15:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1430	masked, available in supplementary info or upon request	'high	'NA	'NA
F1543	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:25:00	'2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1543	masked, available in supplementary info or upon request	'high	'NA	'NA
F1545	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:25:00	'2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1545	masked, available in supplementary info or upon request	'high	'NA	'NA
F1556	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'bitaeniorhynchus	'Culex bitaeniorhynchus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-22 15:20:00	'2019-10-23 15:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1556	masked, available in supplementary info or upon request	'high	'NA	'NA
F1560	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-22 15:55:00	'2019-10-23 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1560	masked, available in supplementary info or upon request	'high	'NA	'NA
F1582	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-22 15:40:00	'2019-10-23 15:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1582	masked, available in supplementary info or upon request	'high	'NA	'NA
F1584	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'sinensis	'Culex sinensis	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:30:00	'2019-10-22 16:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1584	masked, available in supplementary info or upon request	'high	'NA	'NA
F1161	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-08 08:45:00	'2019-10-09 08:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1161	masked, available in supplementary info or upon request	'high	'NA	'NA
F1165	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-08 10:25:00	'2019-10-09 10:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1165	masked, available in supplementary info or upon request	'high	'NA	'NA
F1226	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1226	masked, available in supplementary info or upon request	'high	'NA	'NA
F1260	'2.1	'2	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1260	masked, available in supplementary info or upon request	'high	'NA	'NA
