site	season	village	commune	district	city	elevation_m	trapping method	trip	month	genus	subgenus	species	genus_species	sex	blood_meal	number	old_eppendorf	old_box	new_eppendorf	new_box	Location	datetime_setup	datetime_collect	lat	long	id	latlong_provided
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 04:30:00	2019-10-15 04:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1014	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1015	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1016	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1017	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Anopheles	Anopheles	peditaeniatus	Anopheles peditaeniatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:47:00	2019-10-16 09:48:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1018	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Armigeres	Armigeres	subalbatus	Armigeres subalbatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 09:52:00	2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1019	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Armigeres	Armigeres	subalbatus	Armigeres subalbatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 09:45:00	2019-10-17 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1020	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Armigeres	Armigeres	subalbatus	Armigeres subalbatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 09:45:00	2019-10-17 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1021	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Armigeres	Armigeres	subalbatus	Armigeres subalbatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 07:55:00	2019-10-17 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1022	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Coquillettidia	Coquillettidia	crassipes	Coquillettidia crassipes	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 03:52:00	2019-10-17 15:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1023	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Oculeomyia	bitaeniorhynchus	Culex bitaeniorhynchus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:25:00	2019-10-16 16:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1024	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 16:08:00	2019-10-15 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1025	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 16:08:00	2019-10-15 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1026	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1027	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1028	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1029	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1030	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1031	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1032	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1033	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1034	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1035	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1036	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1037	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 16:10:00	2019-10-17 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1038	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culicomyia	nigropunctatus	Culex nigropunctatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:25:00	2019-10-16 16:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1039	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 09:45:00	2019-10-17 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1040	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 09:45:00	2019-10-17 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1041	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-16 09:45:00	2019-10-17 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1042	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	vishnui.g	Culex vishnui.g	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 16:08:00	2019-10-15 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1043	masked, available in supplementary info or upon request
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	vishnui.g	Culex vishnui.g	F	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-14 16:08:00	2019-10-15 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1044	masked, available in supplementary info or upon request
